Label,Example
0,"Input: ""sheldon: yeah, that was five weeks ago. how much longer is he gonna milk that cow?""

Steps:
step 1 (surface sentiment): 
the surface sentiment appears to be one of annoyance or frustration. the phrase ""milk that cow"" is an idiom expressing irritation at someone who is overusing a situation for their benefit or attention.

step 2 (true intention):
the true intention aligns with the surface sentiment. sheldon is genuinely expressing frustration about someone continually bringing up or using an event that happened five weeks ago. the rhetorical question ""how much longer is he gonna milk that cow?"" reinforces this sentiment.

step 3 (comparison and analysis):
comparing steps 1 and 2, we see that the surface sentiment and true intention are consistent. there's no reversal of meaning or subtle contradiction that would indicate sarcasm. the idiom ""milk that cow"" is used in its standard figurative sense, not in a sarcastic way.

Label:
not sarcastic"
0,"Input: ""rachel: i did not mean to touch that,i mean""

Steps:
step 1: surface sentiment
the surface sentiment appears apologetic and slightly flustered. the phrase ""i did not mean to"" indicates an unintended action, and the trailing ""i mean"" suggests some hesitation or attempt to clarify.

step 2: true intention
the true intention seems to align with the surface sentiment. rachel appears to be genuinely expressing that she accidentally touched something and is trying to explain or apologize for it. the incomplete sentence structure and the use of ""i mean"" at the end suggest a spontaneous, sincere reaction rather than a carefully crafted sarcastic remark.

step 3: comparison and analysis
there is no significant discrepancy between the surface sentiment and the true intention. the statement lacks typical markers of sarcasm such as exaggeration, irony, or a mocking tone. instead, it presents as a straightforward, albeit slightly flustered, expression of an accidental action.

Label:
not sarcastic"
0,"Input: ""joey: look now, phoebe remember, hey, their just fulfilling their christmas....""

Steps:
step 1: surface sentiment
- the statement appears to be neutral or slightly positive
- keywords like ""look"" and ""remember"" suggest joey is trying to draw attention to a point
- mentioning ""fulfilling their christmas"" implies a positive holiday-related activity

step 2: true intention
- joey seems to be genuinely explaining or reminding phoebe about something related to christmas
- the sentence is incomplete, but there's no apparent irony or contradiction
- the casual, conversational tone matches joey's character and doesn't indicate hidden meaning

step 3: comparison and analysis
- the surface sentiment aligns with the likely true intention
- there are no clear indicators of sarcasm such as exaggeration, contradiction, or mocking tone
- the statement appears to be a straightforward, sincere comment about christmas activities

Label:
not sarcastic"
0,"Input: ""monica: no!! you have been screwing us all day!""

Steps:
step 1: surface sentiment
the surface sentiment is strongly negative and frustrated, indicated by:
- the emphatic ""no!!"" with double exclamation marks
- the accusatory phrase ""you have been screwing us all day!""
- the use of aggressive language (""screwing"")

step 2: true intention
the true intention appears to align with the surface sentiment:
- the speaker (monica) seems genuinely upset and angry
- there are no obvious rhetorical devices or subtle language cues suggesting a hidden meaning
- the statement is direct and confrontational, typical of sincere anger or frustration

step 3: comparison and analysis
- the surface sentiment and true intention appear to be in alignment
- there is no detectable irony or mismatch between what is said and what is meant
- the statement lacks the typical markers of sarcasm such as exaggeration, mock politeness, or incongruity

Label:
not sarcastic"
0,"Input: ""chandler: hey, do you know a six-letter word for red?""

Steps:
step 1: surface sentiment
the surface sentiment is neutral. chandler is simply asking a question about vocabulary. there are no obvious emotional keywords, sentimental phrases, or emojis that would indicate sarcasm.

step 2: true intention
the true intention seems to align with the surface meaning. chandler appears to be genuinely asking for help with a word puzzle or crossword, looking for a six-letter synonym for ""red"". there's no evident use of rhetorical devices or unusual language style that would suggest a hidden meaning.

step 3: comparison and analysis
the surface sentiment (step 1) and the true intention (step 2) are consistent with each other. there's no discrepancy between what chandler is saying and what he means. the question is straightforward and practical, without any indicators of irony or mockery.

Label:
not sarcastic"
0,"Input: ""howard: no, just me, her and a couple of the big wigs. it's part of a bonus she got.""

Steps:
step 1: surface sentiment
the statement appears neutral to slightly positive. there are no overtly emotional keywords or phrases. the mention of ""bonus"" suggests a potentially positive context.

step 2: true intention
the speaker seems to be straightforwardly describing a situation involving a small group of people, including some higher-ranking individuals (""big wigs""), attending an event or activity as part of a bonus reward. there are no apparent rhetorical devices or unusual language styles that would suggest a hidden meaning.

step 3: comparison and analysis
the surface meaning and the likely true intention align closely. there's no discrepancy between what is said and what is meant that would indicate sarcasm. the statement appears to be a simple, factual description of a situation.

Label:
not sarcastic"
0,"Input: ""joey: and it came out, ""squatternut buash?""""

Steps:
step 1: surface sentiment
- the sentence doesn't contain any obviously sentimental keywords or phrases.
- there's a question mark, indicating confusion or uncertainty.
- the misspelling ""buash"" instead of ""bosh"" suggests a mispronunciation.

step 2: true intention
- joey seems to be recounting something he said, likely mispronouncing ""butternut squash.""
- the intent appears to be genuine confusion or embarrassment over the mispronunciation.
- there's no indication of irony or mockery in the statement.

step 3: comparison and analysis
- the surface sentiment and true intention align.
- there's no contrast between what's said and what's meant.
- the statement appears to be a straightforward recounting of a verbal mistake.

Label:
not sarcastic"
0,"Input: ""rachel: yeah, i don't think so joe.""

Steps:
step 1 (surface sentiment): 
the surface sentiment appears negative or disagreeing. ""yeah"" typically indicates agreement, but it's immediately followed by ""i don't think so,"" which is a clear expression of disagreement or doubt.

step 2 (true intention):
the true intention seems to align with the surface sentiment. rachel is directly expressing disagreement with joe. the ""yeah"" at the beginning might be a conversational filler or a way to soften the disagreement, but it doesn't change the overall meaning of the statement.

step 3 (comparison and analysis):
the surface sentiment and true intention are consistent. there's no apparent mismatch or irony that would indicate sarcasm. the statement is a straightforward expression of disagreement.

Label:
not sarcastic"
0,"Input: ""ross: thank you.""

Steps:
step 1 (surface sentiment):
the surface sentiment is positive and appreciative. ""thank you"" is a common expression of gratitude or acknowledgment.

step 2 (true intention):
without additional context, there's no reason to suspect that the true intention differs from the surface meaning. ""thank you"" is a straightforward, polite expression that doesn't typically carry hidden meanings or complex rhetorical devices.

step 3 (comparison and analysis):
the surface sentiment (gratitude) aligns with the likely true intention (expressing genuine thanks). there are no indicators of sarcasm such as exaggeration, unexpected context, or contradictory tone. the brevity and simplicity of the statement further support a literal interpretation.

Label:
not sarcastic"
0,"Input: ""person1: well, that wady took high-wes pictures of my junk wast night for cwaigswist.""

Steps:
step 1: surface sentiment
the surface sentiment seems neutral to slightly positive. the use of ""well"" at the beginning suggests a matter-of-fact tone. there are no explicitly positive or negative words or phrases.

step 2: true intention
the sentence appears to be describing a real event, albeit with some unusual spelling. ""wady"" likely means ""lady,"" ""high-wes"" could be ""high-res"" (high-resolution), and ""cwaigswist"" is probably ""craigslist."" the speaker is describing someone taking pictures of their ""junk"" (likely personal belongings) for an online marketplace.

step 3: comparison and analysis
there is no significant discrepancy between the surface sentiment and the true intention. the statement appears to be a straightforward description of an event, albeit with some spelling idiosyncrasies. there are no signs of irony, exaggeration, or contrast that would typically indicate sarcasm.

Label:
not sarcastic"
