Label,Example
0,"Input: ""auntie just called and said shes on her way..|i better get dressed then :astonished_face::face_with_tears_of_joy::face_with_tears_of_joy:""

Steps:
step 1: surface sentiment
- the first part is neutral, stating a fact about auntie calling.
- the second part expresses surprise and amusement with the astonished face and laughing emojis.
- the phrase ""i better get dressed then"" could be read as slightly exasperated, but the emojis suggest it's meant lightheartedly.

step 2: true intention
- the speaker is genuinely informing about their aunt's imminent arrival.
- they're humorously acknowledging that they're not fully prepared (not dressed yet).
- the emojis indicate they find the situation funny rather than annoying.

step 3: comparison and analysis
- the surface sentiment aligns with the true intention.
- there's no contradiction between the words and the emojis.
- the humor is self-deprecating rather than sarcastic towards others.

Label:
not sarcastic"
0,"Input: ""short hair  #really http://t.co/yafc94nyz4""

Steps:
step 1: surface sentiment
- the text ""short hair"" is neutral.
- the hashtag ""#really"" could potentially indicate emphasis or skepticism.
- there's a link, which likely leads to an image or more information.

step 2: true intention
- the tweet appears to be a straightforward comment about short hair.
- the ""#really"" hashtag, in this context, likely emphasizes the short hair rather than expressing doubt or sarcasm.
- the link probably shows an image of the short hair being referred to.

step 3: comparison and analysis
- there's no clear mismatch between the surface sentiment and the likely true intention.
- the tweet seems to be a simple statement about short hair, possibly showing off a new haircut.
- the ""#really"" emphasizes the shortness rather than contradicting it.

Label:
not sarcastic"
0,"Input: ""to be an ass but ohh yeaa!!!! http://t.co/sf8jm2zpfd""

Steps:
step 1: surface sentiment
- negative element: ""to be an ass""
- positive element: ""ohh yeaa!!!!"" (enthusiastic exclamation)
- the surface sentiment is mixed, with a negative self-description followed by enthusiasm

step 2: true intention
- the phrase ""to be an ass"" appears to be self-deprecating or acknowledging potentially negative behavior
- ""ohh yeaa!!!!"" suggests genuine excitement or approval
- the link at the end implies sharing content the user finds interesting or agreeable
- the overall tone seems casual and genuine rather than ironic

step 3: comparison and analysis
- there's no clear mismatch between the surface sentiment and true intention
- the tweet doesn't employ typical sarcastic devices like exaggeration or mock enthusiasm
- the combination of self-deprecation and excitement is more likely genuine than sarcastic

Label:
not sarcastic"
0,"Input: ""these guys are just amazing #gottalisten @cindybm2 the allman brothers band - stormy monday ( at fil...: http://t.co/gcaqwt2a50""

Steps:
step 1: surface sentiment
- positive sentiment expressed through ""amazing""
- use of ""#gottalisten"" encourages others to listen
- sharing a link indicates genuine interest in sharing the music

step 2: true intention
- direct praise for the band
- enthusiastic recommendation to listen
- sharing specific song and link to facilitate easy access for others

step 3: comparison and analysis
- surface sentiment aligns with true intention
- no contradictory elements or exaggeration that might suggest sarcasm
- straightforward expression of admiration and recommendation

Label:
not sarcastic"
0,"Input: ""history check anyone know what this is? http://t.co/ktr2yqkrxd""

Steps:
step 1: surface sentiment
- the tweet contains a straightforward question
- no obvious positive or negative sentiment words
- no emojis or strong emotional indicators

step 2: true intention
- the user appears to be genuinely asking for information
- the inclusion of a link suggests they are sharing an image or resource for others to identify
- the phrasing ""history check"" implies they are seeking factual information related to history

step 3: comparison and analysis
- the surface sentiment aligns with the true intention
- there's no discrepancy between what is said and what is meant
- the tweet lacks any indicators of irony or hidden meaning

Label:
not sarcastic"
0,"Input: ""there are things we are made to go through  to harm us but to given us a lesson to teach to someone weaker""

Steps:
step 1: surface sentiment
- the statement acknowledges difficulties (""things we are made to go through"")
- it suggests a negative aspect (""to harm us"")
- but it also indicates a positive purpose (""to given us a lesson"")
- overall, the surface sentiment is mixed, leaning towards a thoughtful or philosophical tone

step 2: true intention
- the sentence appears to be a genuine reflection on life's challenges
- it suggests that hardships serve a purpose beyond immediate harm
- the intention seems to be to express a belief in learning from difficulties
- the phrase ""to teach to someone weaker"" implies a cycle of learning and sharing wisdom

step 3: comparison and analysis
- the surface sentiment aligns with the true intention
- there's no apparent contradiction or exaggeration that would indicate sarcasm
- the statement is straightforward and lacks typical sarcastic markers like irony or mocking tone
- the message seems sincere in its attempt to find meaning in hardship

Label:
not sarcastic"
0,"Input: ""#legend says if you stand in front of a mirror+say ""i can't even"" 3 times, a girl in #yogapants will appear+give you a pumpkin spice latte.""

Steps:
step 1: surface sentiment
- the tweet uses playful language and references popular culture elements (yoga pants, pumpkin spice latte)
- the tone is lighthearted and humorous
- no overtly negative or critical keywords are present

step 2: true intention
- the tweet is crafting a modern, tongue-in-cheek ""urban legend""
- it's combining stereotypical elements associated with young women's culture
- the intention appears to be humor and social commentary, not criticism

step 3: comparison and analysis
- the surface sentiment aligns with the true intention
- there's no significant mismatch between the literal meaning and the intended meaning
- the humor is derived from exaggeration and absurdity, not from saying one thing and meaning the opposite

Label:
not sarcastic"
0,"Input: ""one more all nighter and the semester is done""

Steps:
step 1: surface sentiment
the surface sentiment appears neutral to slightly negative. the phrase ""all nighter"" typically has a negative connotation, suggesting stress or exhaustion. however, ""the semester is done"" implies a sense of relief or accomplishment.

step 2: true intention
the true intention seems to align with the surface sentiment. the speaker is likely expressing a factual statement about their current situation - they need to pull one more late night of studying or work, and then their academic semester will be complete.

step 3: comparison and analysis
there is no significant discrepancy between the surface sentiment and the true intention. the statement appears to be a straightforward expression of the speaker's current academic situation, without any apparent irony or exaggeration that would indicate sarcasm.

Label:
not sarcastic"
0,"Input: ""is khallilah henriques nnn all there? she mostly sounds blonde,but this morning confirmed it#ignorant on race relations#articulate minority.""

Steps:
step 1: surface sentiment
the surface sentiment appears negative and critical. key phrases like ""is [she] all there?"", ""sounds blonde"", and hashtags ""#ignorant"" and ""#articulate minority"" suggest a disapproving tone towards the subject.

step 2: true intention
the true intention seems to align with the surface sentiment. the tweet appears to be genuinely questioning the subject's intelligence and criticizing her understanding of race relations. there are no clear indicators of irony or exaggeration that would suggest sarcasm.

step 3: comparison and analysis
the surface sentiment and true intention appear to be in alignment. the tweet expresses a straightforward negative opinion without employing sarcastic devices like exaggeration, mock praise, or ironic contrast.

Label:
not sarcastic"
0,"Input: ""come on, it's lovely weather for a sleigh ride together with ewe. http://t.co/ceprvyqlgc""

Steps:
step 1: surface sentiment
- positive keywords: ""lovely weather""
- cheerful tone: ""come on"" suggests enthusiasm
- romantic/festive imagery: ""sleigh ride together""

step 2: true intention
- the tweet appears to be a playful reference to a christmas song lyric
- ""ewe"" is a pun on ""you,"" aligning with the lighthearted tone
- the included link likely leads to an image or content related to the tweet

step 3: comparison and analysis
- the surface sentiment and true intention align
- there's no indication of mockery or criticism
- the wordplay is fun rather than sarcastic

Label:
not sarcastic"
