Label,Example
0,"Context:
chandler: i'll tell you what. when we're 40, if neither one of us are married, what do you say you and i get together and have one?
monica: why won't i be married when i'm 40?

Input:
chandler: oh, no, no. i just meant hypothetically.

Cues:
**topic:**
marriage plans and future hypothetical scenarios.
**cultural background:**
the characters are from the popular television show ""friends,"" which often features discussions about relationships and future plans among close-knit friends.
**surface emotion:**
chandler is attempting to reassure monica and clarify his statement.
**common knowledge:**
friends often make pacts or hypothetical plans about the future if certain conditions are not met. chandler's reassurance is straightforward and not intended to be sarcastic.
**keywords:**
""hypothetically,"" ""no, no,"" ""meant""

Label:
not sarcastic"
0,"Context:
**person:** what are you doing here?

**sheldon:** hang on. 130 over 80. it's a little high.

**sheldon:** we can attribute that to the stress of sneaking past the security desk.

**person:** where did you get the stethoscope and the blood pressure cuff?

Input:
**sheldon:** my aunt marion gave them to me for my 12th birthday.

Cues:
**1. topic:**
   - the topic here is sheldon explaining where he got the stethoscope and blood pressure cuff.
**2. rhetorical devices:**
   - sheldon’s answer is straightforward and lacks rhetorical devices such as irony, hyperbole, or understatement that could suggest sarcasm.
**3. special symbols:**
   - no special symbols are present.
**4. cultural background:**
   - in some cultures, unconventional gifts such as medical equipment can be a sign of interest in a particular field from an early age. here, it’s a plausible and culturally coherent statement that an aunt might give such a gift to encourage a young sheldon’s interest in science or medicine.
**5. emotional contrasts:**
   - there is no stark emotional contrast in the statement. sheldon is neither showing humor nor any conflicting emotions that would imply sarcasm. he simply provides factual information.

Label:
not sarcastic"
0,"Context:
howard: oh, hey, stuart, i got you a little souvenir from my trip to space.
person: well, howard, that's very nice of you.
leonard: yeah, maybe. open it first.
howard: it's my official nasa portrait.

Input:
person: ""to stuart, your comic book store is out of this world. just like the guy in this picture was.""

Cues:
keywords: comic book store, out of this world, picture, guy
topic: complimenting stuart's comic book store and comparing it with howard's space trip
emotional contrasts: none evident
rhetorical devices: simile (""just like the guy in this picture was."")
emotional words: out of this world (positive connotation)

Label:
not sarcastic"
0,"Context:
phoebe: hey you guys i'm gonna go out and take a walk.
ross: phoebe, why is your bag moving?
phoebe: oh, it's not!

Input:
rachel: seriously, it's moving!

Cues:
1. **rhetorical devices:** rachel uses a direct statement without employing sarcasm-related rhetorical devices like irony or understatement.
2. **surface emotion:** rachel appears to be surprised or concerned rather than dismissive or mocking.
3. **special symbols:** there are no special symbols (like italics or quotation marks) that would suggest sarcasm.
4. **common knowledge:** the context implies that something unusual is happening, which could genuinely worry or surprise someone.
5. **emotional words:** the use of ""seriously"" conveys a level of earnestness and concern rather than sarcasm.

Label:
not sarcastic"
0,"Context:
joey: uhh, well i've got an audition down the street and i spilled sauce all over the front of my shirt. you got an extra one?
rachel: yeah, sure. umm .. here.
joey: great. you got anything that's not

Input:
rachel: yeah, i don't think so joe.

Cues:
- **special symbols**: none present.
- **cultural background**: the dialogue takes place in a casual, everyday situation typical of friends interacting. it is from the popular american tv show ""friends"".
- **language style**: the language is straightforward and conversational.
- **keywords**: ""i don't think so"", ""joe"".
- **emotional contrasts**: there is no emotional contrast suggesting sarcasm. rachel's response is flat and straightforward, indicative of simply not having what joey asked for rather than mocking him.

Label:
not sarcastic"
0,"Context:
joey: hey. what, what are you doing here?
phoebe: well, i-i thought a lot about what you said, and um, i realilized duh, all right maybe i was a little judgmental. yeah, oh, but oh...

Input:
joey: look now, phoebe remember, hey, their just fulfilling their christmas....

Cues:
- surface emotion: joey appears to be calm and perhaps slightly admonishing.
- cultural background: the mention of christmas suggests a cultural context likely familiar with the holiday and its associated customs.
- special symbols: none.
- emotional words: ""remember"" indicates a reference to prior discussion, suggesting concern.
- rhetorical devices: joey’s statement seems direct, lacking irony, exaggeration, or other markers of sarcasm.

Label:
not sarcastic"
0,"Context:
person: spring vacation.
ross: spring vacation.
person: oh good.
ross: look, i ..   look, i'm having a great time with you and i just don't want us to move to fast or put to much pressure on us.

Input:
ross: so, i'm sorry i just don't think we should go away together yet.

Cues:
- **rhetorical devices:** the statement contains an apology and a clear explanation.
- **emotional words:** ""sorry"", ""great time"", ""pressure"" suggest genuine feelings.
- **context:** ross and the other person are discussing spring vacation and the progression of their relationship.
- **emotional contrasts:** the contrast between having a ""great time"" and ""don't want us to move too fast"" expresses concern and care.
- **language style:** the language is straightforward, direct, and sincere.

Label:
not sarcastic"
0,"Context:
phoebe: i need to talk to you, it's pretty urgent. it's about monica and chandler.
ross: oh my god! of course, of course.

Input:
ross: umm, would you please excuse me for a moment?

Cues:
1. **cultural background**: the interaction takes place among friends in a casual, conversational setting, likely in a western context.
2. **language style**: polite and formal. ross uses ""umm"" indicating hesitation or contemplation.
3. **keywords**: ""excuse me,"" ""please,"" ""moment.""
4. **topic**: request for a brief break in the conversation, likely to process or attend to something.
5. **special symbols**: none

Label:
not sarcastic"
0,"Context:
ross: that only is not funny, it's physically impossible! okay? depending on the species i'd have to have a six foot long...

Input:
ross: it's not funny!

Cues:
- **language style:** the language is straightforward and direct.
- **emotional contrasts:** there are no extreme emotional contrasts; ross is simply stating a fact.
- **punctuation:** the exclamation mark suggests emphasis and frustration but not sarcasm.
- **common knowledge:** understanding that ross is emphasizing the impossibility of a situation.
- **cultural background:** recognizing that ross typically speaks in a rational, direct manner in the context of ""friends,"" and his statement aligns with his logical character.

Label:
not sarcastic"
0,"Context:
raj: oh, there it is: now that you don't have a girlfriend, you want to hang out with me again.
leonard: i never stopped hanging out with you. oh, please, we all know i'm the friend you call when you have no other options. if we were the justice league, i'd be aquaman.
howard: i wish you were aquaman. then i could send you to scoop my mom out of the old lady tank.

Input:
sheldon: excuse me, i'm thirsty, so i'm going to go to the refrigerator and get myself a refreshing beverage.

Cues:
1. **language style**: the language used by sheldon is straightforward and direct, lacking any complex or overly sophisticated vocabulary that would imply sarcasm.
2. **surface emotion**: the emotion in sheldon's statement is neutral. he is simply stating a fact without any underlying tone of frustration, irritation, or humor.
3. **emotional words**: the word ""thirsty"" and ""refreshing beverage"" are emotional to an extent but are not exaggerated or used in a way that implies a different meaning. 
4. **rhetorical devices**: there are no rhetorical devices such as irony, hyperbole, or understatement present in the input. sheldon's statement is literal.
5. **special symbols**: there are no special symbols like exclaimlation marks or quotation marks that would indicate a differing tone or meaning from what is explicitly stated.

Label:
not sarcastic"
