Label,Example
0,"Input: rachel: no! i'm so happy for them!

Steps:
step 1: what is the surface sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
- surface sentiment: happiness and excitement, indicated by keywords like ""so happy.""

step 2: deduce what the sentence really means, namely the true intention, by carefully checking any rhetorical devices, language style, etc.
- true intention: the phrase ""no! i'm so happy for them!"" does not contain any obvious rhetorical devices like exaggeration, irony, or contradiction that are typical indicators of sarcasm. the excitement in the expression ""so happy"" seems genuine.

step 3: compare and analysis step 1 and step 2, infer the final sarcasm label.
- both the surface sentiment and the true intention suggest genuine happiness without any hint of sarcasm.

Label: not sarcastic"
0,"Input:
- **howard:** ""trust me, you're not jewish. that's how they get you.""

Steps:
#### step 1: surface sentiment
- **keywords and phrases:** ""trust me,"" ""you're not jewish,"" ""that's how they get you.""
- **sentimental tone:** generally flat with a possible hint of an advisory tone.

#### step 2: true intention
- **rhetorical devices**: the phrase ""that's how they get you"" could be interpreted as a casual or serious assertion but doesn't inherently carry a sarcastic tone.
- **language style:** the language doesn't show a clear contradictory or ironic style that typically defines sarcasm. 

#### step 3: compare and analyze
- **surface sentiment vs. true intention:** there is no strong contradiction between the surface sentiment of advice or declaration and the deeper intention behind the statement.
  
Label:
not sarcastic"
0,"Input:
person1: look, please, please don't go anywhere, okay?

Steps:
1. **step 1: surface sentiment**
   - **keywords and phrases:** ""please, please"" is a repetition that indicates urgency or earnestness.
   - **sentiment:** the surface sentiment appears to be a plea or request, suggesting concern or worry.

2. **step 2: true intention**
   - **analysis of rhetorical devices and language style:** there are no obvious indicators of sarcasm, such as hyperbole, contradiction, or exaggerated tones. the repetition of ""please"" further supports a genuine plea rather than mockery or irony.
   - **intention:** the speaker seems to be making an earnest request, driven by genuine emotions rather than employing sarcasm.

3. **step 3: comparison and analysis**
   - both the surface sentiment (a plea) and the true intention (an earnest request) align.
   - there is no contradiction or underlying irony between what is said and what is meant.

Label:
not sarcastic"
0,"Input:
howard: it was the kind of thing that makes it kind of hard to face her now.

Steps:
**step 1: surface sentiment**
the phrase ""it was the kind of thing that makes it kind of hard to face her now"" contains elements of introspection and discomfort. keywords like ""hard"" suggest a negative or difficult sentiment.

**step 2: true intention**
there are no rhetorical devices or exaggerated language that imply a sarcastic tone. the language used is straightforward, describing a genuine emotion of difficulty or embarrassment when facing the person mentioned.

**step 3: compare and analyze**
both the surface sentiment and the true intention align in expressing a feeling of discomfort without any hint of irony, exaggeration, or insincerity. the sentence is direct and earnest.

**conclusion:**
the sentence is not sarcastic because the sentiment expressed on the surface aligns with the true intention, and there is no indication of sarcasm.

Label:
not sarcastic"
0,"Input:
monica: no!! you have been screwing us all day!

Steps:
step 1: the surface sentiment is clearly negative. phrases like ""no!!"" and ""you have been screwing us all day!"" indicate anger and frustration.
step 2: deducing the true intention, monica is expressing genuine anger and accusation towards the other person. there are no rhetorical devices or language styles used that suggest a different, sarcastic meaning.
step 3: the surface sentiment and the true intention align in their negativity. there isn't a disparity that would suggest sarcasm.

Label:
not sarcastic"
0,"Input:
ross: all right.

Steps:
1. **surface sentiment analysis (step 1):**
   - the phrase ""all right"" is neutral and doesn't contain obvious sentimental keywords or emotional phrases like ""great"" or ""terrible."" there are also no emojis or exclamatory marks indicating heightened emotion.

2. **true intention deduction (step 2):**
   - ""all right"" is often used to convey acceptance or acknowledgment. there are no specific rhetorical devices or exaggerated language in this statement that suggest a deeper, sarcastic meaning. the tone appears straightforward, devoid of irony or mockery.

3. **comparison and analysis (step 3):**
   - the surface sentiment is neutral, and the true intention seems to align with the surface expression of acceptance. there are no discrepancies or hyperbolic cues that would indicate sarcasm.

Label:
not sarcastic"
0,"Input:
person: i was going to ask leonard to do it, but he seemed a bit emotionally unstable and you don't want someone like that operating heavy machinery.

Steps:
#### step 1: surface sentiment
- **clues:**
  - emotionally unstable
  - heavy machinery
- **sentiment:**
  the surface sentiment is cautionary and concerned.

#### step 2: true intention
- **analysis:**
  - the speaker is providing a reason for not asking leonard to operate heavy machinery.
  - mentions ""emotionally unstable"" explicitly, which suggests genuine concern about leonard's mental state affecting his ability to handle a potentially dangerous task.
  - no evident rhetorical devices like irony, exaggeration, or understatement that would lead to sarcasm.
  - direct and clear language with no hidden or oppositional meanings.

#### step 3: compare and analyze
- **comparison:**
  - both surface sentiment and true intention align as expressions of concern and caution.
  - there is no discrepancy between what is being said and what is meant.
  - the statement is straightforward and lacks the complexity typical of sarcasm where the literal and intended meanings diverge.

Label:
not sarcastic"
0,"Input:
amy: oh, screw her. she's just lucky we let her hang out with us.

Steps:
#### step 1: surface sentiment
the initial sentiment appears to be negative. phrases like ""oh, screw her"" and ""she's just lucky we let her hang out with us"" indicate a contemptuous or dismissive attitude.

#### step 2: true intention
by analyzing the language and tone, it becomes evident that amy's words are expressing frustration or disdain toward the mentioned person. there are no rhetorical devices such as hyperbole or irony that would suggest the sentiment is meant in an opposite or sarcastic manner.

#### step 3: comparison and analysis
comparing the surface sentiment and the deeper meaning, both align in a negative context. amy seems to genuinely hold a negative view about the person and is voicing a straightforward opinion without an underlying sarcastic tone.

Label:
not sarcastic"
0,"Input: phoebe: yeah!

Steps:
1. **what is the surface sentiment?**
    - the surface sentiment is positive. ""yeah!"" is an affirmative and enthusiastic response, often indicating agreement or excitement.

2. **what is the true intention?**
    - given that ""yeah!"" is a short and seemingly straightforward response, there are no strong indicators of sarcasm such as overly exaggerated enthusiasm or contradictory language. 

3. **compare and analyze step 1 and step 2:**
    - the surface sentiment (positive) matches the true intention (agreeing or expressing excitement) without any signs of sarcasm.

Label:
not sarcastic"
0,"Input:
chandler: yeah, she couldn't live without the chan love.

Steps:
**step 1: surface sentiment**
- keywords: ""couldn't live without,"" ""chan love""
- sentimental phrases: the phrase ""couldn't live without"" suggests a high level of affection or dependency, typically positive.
- surface sentiment: positive, implying strong affection or need.

**step 2: true intention**
- analyze rhetorical devices: look for exaggeration, irony, or any language style that alters the surface meaning.
- language style: chandler often uses humorous and self-deprecating remarks. however, in this statement, there is no clear indication of intentional exaggeration or irony.
- true intention: the sentence appears to straightforwardly suggest that someone finds chandler's love invaluable.

**step 3: compare surface sentiment and true intention**
- the surface sentiment (positive affection) aligns with the true intention (valuing chandler's love). there isn’t a significant gap between what is said and what is meant.
  
Label:
not sarcastic"
