,Text,Label,pred
0,"                SHELDON: I'm sorry, I am not going back to the Renaissance fair..",0,0
1,"                RAJ: Certainly. I'd like to raise two points. Number one, I think they <i>are</i> talking about penises. And number two, these mimosas are kicking my little brown ass..",0,1
2,"                SHELDON: Excuse me, I'm thirsty, so I'm going to go to the refrigerator and get myself a refreshing beverage..",0,1
3,                SHELDON: He does it all the time. He's a cornucopia of social awkwardness..,0,0
4,                SHELDON: It's an iCal download. She can put it right in her phone..,1,1
5,"                HOWARD: Good idea, sit with her. Hold her, comfort her. And if the moment feels right, see if you can cop a feel..",1,0
6,"                SHELDON: In the bedrooms of ten-year- old girls, where they belong..",1,0
7,                SHELDON: When I have enough to destroy all the human toast on the Battlestar known as Galactica..,1,0
8,"                SHELDON: Well, there's always the possibility that a trash can spontaneously formed around the letter but Occam's rasor would suggest that someone threw it out..",1,0
9,"                HOWARD: I understand your point, but given a choice, Jews always go with Chinese food..",1,0
10,                SHELDON: It's just a privilege to watch your mind at work..,1,0
11,"                HOWARD: Sheldon, if you were a robot, and I knew and you didn't....",0,1
12,"                AMY:...so anyway, to make a long story short, turns out I have an unusually firm cervix..",0,0
13,                LEONARD: The blunt instrument that will be the focus of my murder trial?.,1,1
14,"                SHELDON: If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you..",1,1
15,                SHELDON: How nice. Maybe they can carpool when they visit you in federal prison..,1,1
16,"                PERSON: Well, I'm just glad you finally found yourself a keeper..",0,0
17,                LEONARD: Don't you think looking for a new city to live in is a bit of an overreaction?.,0,1
18,"                LEONARD: Sure, maybe a tableau of me trying to pummel you to death..",1,1
19,"                AMY: Oh, I could so see you being the face of hemorrhoids..",1,1
20,                PENNY: There a new girlfriend in there? 'Cause you might need one..,1,0
21,"                SHELDON: Maybe when I publish it, I'll include an inhaler..",1,0
22,"                PENNY: Yeah, it's a great time to be alive, isn't it?.",1,1
23,"                SHELDON: You don't really believe in that superstition, do you?.",0,1
24,                SHELDON: Leonard's work is nearly as amazing as third graders growing lima beans in wet paper towels..,1,0
25,                SHELDON: I understand. Your loyalty is admirable. But what if I were to up the ante?.,0,0
26,"                SHELDON: How's this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university's ""chosen to hire you, despite the fact ""that you've done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series",1,0
27,"                HOWARD: ""Dave."" Sounds like Leonard's got a new BFF..",1,0
28,                LEONARD: Would it work if I just punched you in the face?.,0,0
29,"                RAJ: Leonard, may I present, live from New Delhi, Dr. and Mrs. V. M. Koothrappali..",0,0
30,                LEONARD: I think tonight was a very good start..,0,1
31,"                SHELDON: Well, I'm sorry, too, but there's just no room for you in my wallet..",1,1
32,"                RAJ: Ooh, big talk from a man who was once treed by a chicken..",1,1
33,                PERSON: You were right. Your larynx is terribly inflamed. I've never seen anything like it..,1,1
34,"                PERSON3: I'm sorry, Sheldon bought a loom and learned how to weave?.",0,0
35,                LEONARD: You know this can go on all night. Why don't you just come with us?.,0,1
36,"                PENNY: Oh, you know, that is so weird that yours came and mine didn't..",1,1
37,                SHELDON: I gargled with tequila and may have swallowed a teeny bit..,0,0
38,"                LEONARD: Excuse me, but what about me? Why don't I get a shot?.",0,0
39,"                HOWARD: Sadly, Mrs. Giselle Wolowitz is sensitive to chlorine. Lucky for her I like my fashion models pruny and bug-eyed..",1,0
40,"                PERSON: I'm sorry, fiddling with yourself in the bathtub is a real class act..",1,1
41,"                PENNY: Well, I always figured it was to study us, discover our weaknesses, and report back to your alien overlords..",1,1
42,"                PENNY: When I didn't pay my bill, the Department of Water and Power thought I would enjoy the ambience..",1,1
43,"                PENNY: Okay, Amy, you're being silly. I'm not concerned about who hangs out with who. And I certainly don't have a problem with Leonard's new girlfriend who wears way too much makeup. Ooh, these are cute. Of course if I buy them, I'll have to rent my womb out to a gay couple..",1,1
44,"                SHELDON: Obviously, we're no longer a Justice League. We have no choice but to switch to our Muppet Baby costumes..",0,1
45,"                HOWARD: - Now?! - No, after my tongue has swollen to the size of a brisket!.",1,0
46,"                PERSON: I don't know. Somebody bigger and... Yeah, sure. Why not you?.",1,0
47,"                SHELDON: Assuming I can keep up this pace, three hours, 11 minutes. Plus however long it takes to conclude this fairly pointless conversation..",1,0
48,                RAJ: Right. That was so good! Sweety and meaty at the same time..,0,1
49,"                SHELDON: I read a study online that walking after a meal not only aids in digestion, but increases serotonin, and you know me, if there's one thing I like more than a refreshing beverage, it's serotonin. Bye-bye..",0,1
50,"                SHELDON: So? Do cocaine smugglers write ""cocaine"" on the box?.",1,0
51,"                SHELDON: Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space..",1,0
52,"                AMY: Bernadette dared me to tell a dirty story. ""The Miller's Tale"" by Chaucer is the dirtiest story I know. It would have been hidden in sock drawers if people in the 14th century had worn socks..",0,1
53,                PENNY: I don't think I'll be able to stop thinking about it..,1,0
54,"                SHELDON: All right, all right. He can buy his own desk..",0,0
55,"                LEONARD: Terrific, it's just that... I don't think Penny wants me to go..",0,1
56,                SHELDON: Do you think Penny will come here and take care of us?.,0,0
57,                SHELDON: Not to mention you'd have to power down on saturdays..,0,0
58,                PENNY: I hope I'm a waitress at the Cheesecake Factory for my whole life..,1,1
59,"                HOWARD: Oh, and the science dudes want to talk science with you. What do you want to talk about-- rocks, dinosaurs, our friend the beaver?.",1,1
60,"                HOWARD: Okay, here's an idea. What if I change my name and go live with my cousin and her husband, Avi, in Israel?.",1,0
61,"                LEONARD: Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough..",1,1
62,"                PENNY: No, I mean, we can always go back to being friends..",0,0
63,"                RAJ: Sure, cut the foreigner in half. There's a billion more where he came from..",1,1
64,"                AMY: Saying that while holding a snowflake is a bit heavy-handed, don't you think?.",1,1
65,"                RAJ: Not a great movie, but look at that beautiful desert..",0,0
66,                LEONARD: Hardly a day goes by when I don't think about it..,1,0
67,"                HOWARD: They gave him an assistant? If I want a new pen, I have to go to the bank with wire cutters..",1,1
68,                SHELDON: My aunt Marion gave them to me for my 12th birthday..,0,0
69,"                SHELDON: Obviously, waitressing at The Cheese Cake Factory is a complex socio-economic activity that requires a great deal of analysis and planning..",1,1
70,"                LEONARD: - Chocolate? - No, I don't want any chocolate!.",0,0
71,"                PENNY: Oh, yeah, yeah. It's real great. Today I drove to Van Nuys for an audition I thought was going to be for a cat food commercial. Turned out to be porn..",1,0
72,"                AMY: When you're done copping a feel, that goes on my wrist..",1,0
73,"                HOWARD: Okay, I got a bone to pick with you..",0,0
74,"                PENNY: Oh, no, no, I said I'm inviting you to come with me to Stan Lee's house..",0,1
75,"                LEONARD: Technically, yes. But, if you'll notice... It's reversible!.",0,1
76,"                SHELDON: You know, I've always wanted to go to a Goth nightclub..",1,0
77,                PERSON: I just want to ask you a few questions about Howard Wolowitz..,0,0
78,"                HOWARD: Oh, you know, Goth stuff. Goth magazines, Goth music..",0,0
79,"                PERSON: That's very thoughtful, but I think I'll finish my coffee first..",0,0
80,"                RAJ: I've got some feelers out. In the meantime, listen to this..",0,0
81,                LEONARD: Can we please talk about something else? Maybe something vaguely related to life as we know it on this planet?.,1,1
82,"                RAJ: If you don't like this stuff, let's go next door and build her a bear..",1,1
83,"                PERSON: I was going to ask Leonard to do it, but he seemed a bit emotionally unstable and you don't want someone like that operating heavy machinery..",0,1
84,"                SHELDON: Yes, I'd like a seven-day course of penicillin, some, uh, syrup of ipecac-- to induce vomiting-- and a mint..",1,1
85,                HOWARD: Why don't you keep that stuff in the bathroom?.,0,0
86,"                SHELDON: An entire dinner to talk about your research? Where you going, the drive-thru at Jack in the Box?.",1,0
87,"                RAJ: Yeah, but you were just sleeping, because I forboded you to have sex..",0,0
88,"                RAJ: What else? Sell it on eBay as ""slightly used."".",0,0
89,"                SHELDON: Since it's not bee season, you can have my epinephrine..",0,0
90,                LEONARD: We might be starting to zero in on your problem..,1,0
91,"                RAJ: Your girlfriend and your ex-girlfriend are hanging out together? Oh, yeah, that can only be good for you..",1,1
