,Text,Label,pred
0,                PENNY: Like Burt and Ernie. You guys even teach me stuff about words and numbers..,1,1
1,"                HOWARD: You know, if you're really serious about that, I hear there are some exciting opportunities in home care for the old and fat..",1,1
2,                PENNY: Is that why you had to take him to Office Depot last night?.,0,1
3,                PENNY: Maybe it's a good thing we came here. It's like a lesson in what not to do..,1,0
4,"                BERNADETTE: Because no one wants to see Neil deGrasse Tyson in a wet T-shirt, bent over the hood of a Porsche..",0,0
5,                HOWARD: Are you sure a dummy like me can handle something as complicated as a blanket?.,1,1
6,"                HOWARD: It's okay, you know, we space cowboys don't do what we do for glory and fame. We leave that to your rock stars and your athletes and your Howie Mandels..",0,1
7,                HOWARD: Smart. Whisper so the deaf chick can't hear you..,1,1
8,"                SHELDON: Oh, I see why you're confused. No, her news sounded important, but what you're forgetting is, it was an achievement in the field of biology. That's all about yucky, squishy things..",1,1
9,"                SHELDON: You know, the holidays are just around the corner. Maybe he wants to see if he can lodge the other testicle up there..",1,1
10,"                SHELDON: Well, now that I've given up string theory, I'm struggling to find my next area of focus. So, in your professional opinion, which of these areas do you think is the most promising?.",0,0
11,"                SHELDON: So as they say, all good things must come to an end..",0,0
12,                PENNY: We've kind of been involved in a five-year experiment..,0,0
13,"                PENNY: Ooh, I'm gonna check the fridge, and see if there are any clues inside a beer..",1,0
14,                PENNY: How do you not tear off his clothes and take him right here on this table?.,1,1
15,                SHELDON: I can't believe we wasted all that time on our Hulk costumes..,0,0
16,"                SHELDON: - No, no, no. I'm really good at this. All right, give me a hint. Does it involve difficulty initiating a stream of anything?.",0,0
17,"                LEONARD: We don't say that, either. I'll make you a list. Oh, that would be mighty white of you..",0,1
18,"                RAJ: Dumped her? What, did he use a forklift?.",1,1
19,"                PENNY: Okay, sit down. Listen, Emily, what happened between me and Raj was a long time ago. It was,.",0,0
20,                SHELDON: Maybe that's because I'm not being challenged. It's the same reason Einstein failed math..,0,0
21,"                HOWARD: Wow, he really went where no man has gone before..",0,0
22,"                PENNY: Anyway, to this day, I still can't see a box of crayons without crossing my legs..",0,1
23,"                AMY: And if it turns out you don't... - you and I could live together. - You and... Oh, sure..",1,1
24,"                SHELDON: Yes, there's nothing quite like the slightly widened eyes of mildly startled..",1,0
25,"                AMY: Hope your hands are steady. It's the width of a single hair. But this is just biology, so I'm sure it's no problem for a genius like you..",1,1
26,                LEONARD: I didn't know they gave Nobel prizes for making boom-boom in the potty..,1,1
27,"                PERSON: ""To Stuart, your comic book store is out of this world. Just like the guy in this picture was."".",0,1
28,"                SHELDON: Oh, you're hardly out of the woods, no. You still run the risk of infection, a blood clot, the possibility that an inattentive surgeon let a barn spider lay eggs in your nose..",0,0
29,"                HOWARD: Oh, just put it in your mouth and pop it like a zit..",0,1
30,"                LEONARD: said horrible things about each other in public... all in all, a pretty magical night..",1,0
31,"                HOWARD: So, this spring, I get to go to the International Space Station. Oh, my word, a trip to the heavens..",0,0
32,"                SHELDON: People usually start a meeting with a joke, but you go ahead-- end with one..",0,1
33,"                SHELDON: - You and... Oh, sure. And while we're at it, why don't we get engaged, too? Why don't we get a little house, start a family? Enjoy our sunset years together? Do you hear yourself, woman?!.",1,0
34,"                HOWARD: All right, Amy's in charge of pricing and being 75..",1,1
35,"                SHELDON: Oh, sure, what a wonderful idea. And after that, I'll make up my own rules of oral hygiene. You know, instead of flossing, I'll rub pudding on my gums. I'm going to get the number of the SyFy Channel and give them what for..",1,0
36,                HOWARD: Let's not talk about this in front of our friends..,0,1
37,"                SHELDON: Yeah, good for you, Leonard. That's a lovely little notion. Kind of like, I wish I could talk to my uncle in Chicago. Yeah, now stand back while I invent the telephone. Hello? Oh, hold on. Leonard, it's your uncle. He says you just got burned..",1,0
38,"                BERNADETTE: Wow, you still have it? I just assumed it was balled up in the corner of a barn somewhere..",1,0
39,"                HOWARD: Yeah, well, Bernadette's a little under the weather and my mom's kind of under my dentist..",0,1
40,                HOWARD: Here's some other fun news on the Raj/Emily front. He gave her a pair of diamond earrings and leased her a car..,0,0
41,"                LEONARD: Well, yeah, sex with you is pretty great. Have you ever tried it?.",0,1
42,"                HOWARD: Yeah, terrific. The other astronauts would love to go hurtling through space with a guy named ""Crash."".",1,0
43,                HOWARD: It's why my people wandered the desert for 40 years. Took that long to walk it off..,1,1
44,"                RAJ: Okay, the NASA Web site says Howard's final descent has begun..",0,0
45,"                LEONARD: Also instead of just living in your mother's house, you could actually live inside her body..",1,0
46,                PENNY: Hmm. That's too bad. We could have spent New Year's Eve waiting for the ball to drop..,1,0
47,"                SHELDON: Yeah, that was five weeks ago. How much longer is he gonna milk that cow?.",0,1
48,"                AMY: I enjoyed it. When you told me I was going to be ""losing my virginity,"" I didn't think you meant showing me <i>Raiders of the Lost Ark</i> for the first time..",1,0
49,"                SHELDON: And of those few months, how long have you been a demented sex pervert?.",0,1
50,                HOWARD: And here I am in the trap. You just keep talking. I'm gonna chew my leg off..,1,0
51,                PERSON: What do you think I was gonna do at home?.,0,1
52,"                BERNADETTE: Yeah, we just want to have the kind of dinner that we've all had here so many times before..",0,0
53,"                RAJ: I've, uh, created some other user accounts so I can post positive comments about their paper..",0,1
54,"                HOWARD: You're right, the party's fantastic. Please, tell me more. I haven't heard enough about it all week because hearing about that never gets old!.",1,0
55,                LEONARD: I'm starting to get a sense of it..,1,1
56,                SHELDON: Can we talk about something else? Do you know that I yodel?.,0,1
57,"                AMY: Oh, screw her. She's just lucky we let her hang out with us..",0,1
58,"                SHELDON: The original title was ""A Rederivation of Maxwell's Equations Regarding Electromagnetism"""" I dumbed it down because some of the more religious people in town were starting to say I was a witch..",0,0
59,                PENNY: This is why I've been saying we should keep champagne on ice..,1,0
60,"                PERSON1: Well, that wady took high-wes pictures of my junk wast night for Cwaigswist..",0,1
61,                PERSON: I think I'm gonna go. Thank you for the burrito and the pork rinds and the 20-minute lecture on why monster trucks are better than regular trucks..,1,0
62,                LEONARD: You mean for a person whose neck massages feel like an eagle is trying to carry you to its nest?.,1,1
63,"                AMY: I'm with him three years, nothing. She's with two minutes, and he's taking his pants off..",0,1
64,                PERSON: Why don't you ask Scotty to beam you up?.,1,0
65,                AMY: It was very entertaining... despite the glaring story problem..,1,1
66,"                HOWARD: No, just me, her and a couple of the big wigs. It's part of a bonus she got..",0,1
67,"                RAJ:...to all the good times we had, like, uh, when we went camping and spent that night telling each other all our secrets. I told him I'm addicted to pedicures and he told me he lost his virginity to his cousin..",0,0
68,                SHELDON: Exactly what it was half an hour ago. It's like you're not even trying to get better..,1,1
69,                HOWARD: I don't need a reason-- it's my house..,0,1
70,"                SHELDON: Frankly, Mom, I'm encouraged to see how advanced your group has become-- willing to sail out into the ocean without fear of falling off the edge..",1,1
71,"                SHELDON: I'm sorry, it's the bad boy attitude that comes with this hair..",0,1
72,"                SHELDON: No, I'm just allergic to people who get Nobel Prizes for no good reason..",1,0
73,"                SHELDON: Not as relieved as I'm about to be. It's a brave new world, little lady..",0,0
74,"                PENNY: Of course, it is... it's been in the news. And it's a very famous boson..",0,0
75,"                LEONARD: Come on, let's just start walking. There's got to be a gas station or something nearby..",0,1
76,"                HOWARD: Not exactly. Listen, if you don't mind, I'm not really up for chatting. I'm just going to sit here quietly and let my life flash before my eyes..",0,0
77,                SHELDON: I'm listening to you snore. I'm wondering how I'll ever sleep without it..,1,0
78,"                SHELDON: Next time I might be in a rush, it's good to have a few in the bank..",0,1
79,                RAJ: You have a thing of paper clips right there..,0,0
80,                LEONARD: Sure. You want to see what all the scientists are wearing this year..,1,1
81,                PERSON: that sounds a little funny to an American ear..,0,1
82,"                PERSON: I don't know, perhaps somebody took it off the carousel by mistake?.",0,1
83,"                PENNY: Same as all of us, getting out of a car without underwear..",1,1
84,                SHELDON: Then buckle up; you're in for a cranky night..,0,0
85,                LEONARD: And I'm cool with surprises. But nothing on a Jumbotron. I don't want to cry on a big screen like that..,0,0
86,                BERNADETTE: I don't know what I'm going to do. I don't want to break up over this..,0,1
87,"                SHELDON: You see betrayal in others, but not yourself..",1,0
88,"                SHELDON: Amy, I can't just ask Wil Wheaton to leave. He's a minor celebrity. Once you explain who he is, many people recognize him..",0,0
89,"                PENNY: Let the dead man talk. So, why do you think that?.",0,1
90,"                LEONARD: Ah, that's a good question. Apparently someone was being awfully flirty while not wearing their engagement ring, causing another someone to show up here thinking the first someone might be available..",1,1
91,"                SHELDON: On the bright side, that Oxford study was right. One friend down. I wonder who you're going to lose next..",1,0
92,                BERNADETTE: Because you're in the right lane behind a bus and you won't go around it? I'm sure she finds it charming..,1,1
93,"                SHELDON: As you may know, I've been experimenting with elevated anxiety levels, and I thought, what better way to increase my discomfort than to subject myself to an evening of tasteless uncensored crotch talk?.",0,0
94,"                PENNY: Oh, my God, that's where I know you from..",1,0
95,                SHELDON: You just got off the list. Would you like back on it? This'll just take a moment. It's on a five and a quarter inch floppy..,1,1
96,"                AMY: He probably got a new one. Finish your breakfast. Look, there's an entire section of my dashboard that doesn't have any syrup on it..",0,0
97,                SHELDON: You'd think a winner could make a decent cup of cocoa..,1,1
98,"                AMY: Well, if that's all it takes, it's a good thing you don't have a dog..",1,1
99,"                PENNY: You know what? That was almost on topic. I'm gonna say, ""Good job, Sheldon."".",1,0
100,"                HOWARD: Oh, I think we were looking at creepy in the rearview mirror when I put up that camera..",0,0
101,"                PENNY: Well, my beer isn't flat and my rack's not saggy. So far, the future's great..",1,1
102,"                RAJ: A lane frequented by liars. Like you, you big liar!.",0,1
103,                PENNY: My limbic system wants to take your pants off..,0,1
104,"                LEONARD: Why? Because I got an ugly, itchy sweater, and my brother got a car? No, I was her favorite..",1,0
105,"                HOWARD: Trust me, you're not Jewish. That's how they get you..",0,0
106,"                SHELDON: Darn. If you weren't busy, I'd ask you to join us..",1,0
107,"                AMY: And if I had a friend, they might have told me that..",0,1
108,"                RAJ: Not much, but he seemed to be in a pretty good place..",0,0
109,"                AMY: There they go, fighting again. You'd never hear her talk that way to Sauvignon Blanc..",1,1
110,"                HOWARD: She was just so sad all the time. Yeah, I was the only person who could cheer her up. Well, me and Ben and Jerry..",0,0
111,"                SHELDON: Oh, of course he is. She's very interesting. Did you know, when she was 14, she severed the webbing between her own toes?.",1,1
112,                HOWARD: That's how much buying a comic book store means to me..,0,1
113,                HOWARD: I love that you're too good to pee in the kitchen sink..,1,0
