,Text,Label,pred
0,"                MONICA: Umm, excuse me, we switched apartments. You can't eat are food anymore, that-that gravy train had ended..",0,0
1,"                RACHEL: That's easy for you to say, you weren't almost just killed..",1,1
2,"                CHANDLER: Yeah, I mean, it would be rude to them for us to leave now..",1,0
3,"                CHANDLER: Look I never should have kissed your girlfriend, but I'm.",0,1
4,"                RACHEL: Wait, wait, Chandler, this is what you're havin' for Thanksgiving dinner?.",0,0
5,"                PERSON: Ow, ow, ow, ow, leg cramp, leg cramp, leg cramp..",0,1
6,"                JOEY: Thanks, but I kinda have a problem to deal with here..",0,0
7,                PHOEBE: So now I have to go so he'll think that I'm totally ok with seeing him!.,1,0
8,"                JOEY: Whoa, maybe I was!.",0,0
9,"                RACHEL: I did not mean to touch that,I mean.",0,0
10,                ROSS: I mean if you hadn't initiated it I-I-I know I would've..,0,0
11,"                CHANDLER: Oh yeah. First off all, chasing the Churo guy isn't jogging..",0,0
12,"                MONICA: Well, don't  'cha wanna?.",0,1
13,                ROSS: I can't believe it.  Can I tell you something? I'm a little mad at him now..,0,0
14,                JOEY: Yeah! Look!.,0,0
15,"                JOEY: When they're hungry enough, they'll come in..",0,0
16,                ROSS: I'm supposed to teach a graduate seminar there in ten minutes..,0,1
17,                MONICA: Like I have nothing better to do!.,1,0
18,"                CHANDLER: Yeah okay, I was just talking to the guys. Just look at them I mean, is it okay if they come visit?.",1,0
19,                PERSON: Nobody sees the king!.,0,1
20,                RACHEL: No! I'm so happy for them!.,0,0
21,                ROSS: What did you want to show us? Because all I can see is this bitchin van.,0,0
22,"                PERSON: Twenty-one hours, you're a hero..",0,1
23,"                JOEY: When? Today? Some, not a lot..",0,0
24,"                MONICA: Well, we're trying to find someone to perform our wedding and they're all either boring or annoying or y'know, can't stop staring at the ladies..",0,0
25,                RACHEL: Just tell me how..,1,1
26,"                JOEY: Uh, Rachel's here, so good luck man, let me know how it works out..",1,0
27,"                ROSS: I do not always have to be,okay, okay..",0,1
28,"                CHANDLER: I mean, you and I we're just, y'know, we're nothing, we're goofin' around..",1,0
29,"                PHOEBE: Well, umm, my Mom's friend, Phoebe, is actually my birth Mom..",0,1
30,"                JOEY: Are you kidding? I love that guy!  Morning's here! Morning is here,.",0,0
31,                RACHEL: What-wh-what so we'll just stay married forever?.,1,0
32,"                PHOEBE: See, there you go, the cleansing works!.",0,0
33,"                PHOEBE: Cause all I ever get to do now is pregnant stuff, it just bums me out..",0,0
34,                MONICA: Well what are you gonna do when he finds out he wasn't even asked?!.,0,1
35,                PHOEBE: That oughta do it..,0,1
36,"                PHOEBE: Y'know you, you just stop being such a wuss and get those off and you come with us and watch naked girls dance around!!.",0,0
37,"                RACHEL: Oh-oh, that's a risky little game!.",0,0
38,"                JOEY: Well, I like it. Here you go..",0,0
39,"                PHOEBE: Uh-huh, well! But umm, still I'm-I'm mad at you..",0,0
40,                PHOEBE: Yeah!.,0,0
41,                PHOEBE: Why? Because she can sing and play guitar and do both at the same time?.,1,1
42,"                PERSON: Yeah, a slice of cheesecake and-and a date if you're given'  'em out..",0,0
43,                PERSON: I studied for a year in Barcelona..,0,0
44,                JOEY: You'd better act surprised..,0,1
45,"                PERSON: Whoa, whoa, whoa..",0,0
46,                PERSON: When are you coming home?.,0,1
47,"                RACHEL: Okay, you guys, just relax.  I doooo..",0,0
48,"                PHOEBE: Stating the obvious, but thank you. And it's not weird is it..",1,0
49,"                RACHEL: All right, let's do it..",0,0
50,"                ROSS: He's right, even if it's to say something complementary..",0,0
51,                ROSS: It's not funny!.,0,0
52,"                RACHEL: Yeah, I'm fine..",0,0
53,"                PERSON: Take your shirt off, and let's see what we're dealing with here.  What are you doing?.",0,0
54,                MONICA: Wow! Imagine what our kids would look like!.,0,0
55,                ROSS: Hey! It's starting to snow..,0,0
56,"                CHANDLER: Excellent hole, Joe..",1,1
57,"                CHANDLER: Well, y'know I'm 29. I mean who needs a savings account..",1,0
58,                PHOEBE: I don't think you could ever do that..,0,0
59,"                RACHEL: No, I know, but I,he just went on..",0,0
60,"                MONICA: Uh, listen, I need that broiling pan that Joey borrowed the other day..",0,1
61,                RACHEL: Ohhh!!!!.,0,0
62,                PERSON: Yeah..,0,1
63,"                PERSON1: Look, please, please don't go anywhere, okay?.",0,1
64,                CHANDLER: All right I'll have one..,1,0
65,"                PERSON: Well, I'd gotten Judy pregnant. I still don't know how that happened..",1,1
66,                JOEY: I'm never gonna get to meet her anyway..,0,1
67,"                ROSS: So to sum up, I'm Professor Geller..",0,0
68,"                CHANDLER: Just a sec, give me a minute to wake up for this,Ah-ha-ha!!.",0,1
69,                PERSON: I can show you an ID if you want?.,1,0
70,                CHANDLER: It's not a real game! I made it up!.,0,0
71,"                ROSS: You and I, we're interfacing..",0,0
72,                ROSS: What's going on?!  That's what's going on!!.,0,0
73,                CHANDLER: Paper cut!.,0,0
74,                PHOEBE: Why?.,0,0
75,"                RACHEL: Yeah, I don't think so Joe..",0,0
76,"                ROSS: The big deal is I don't want naked, greasy strangers in my apartment when I want to kick back with a puzzle,beer! Cold beer..",0,0
77,                CHANDLER: I'm the ruptured spleen..,0,1
78,                RACHEL: You're gonna have to tell me how you did that..,0,0
79,                JOEY: Hey..,0,0
80,                PHOEBE: No.,0,0
81,"                JOEY: Me too! There's a game on Tuesday, do you wanna go?.",0,1
82,"                CHANDLER: Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio.",0,0
83,                CHANDLER: And protected them from a tornado?.,1,0
84,                MONICA: No!.,0,1
85,                PHOEBE: Uh-huh!.,0,1
86,"                PHOEBE: All right, okay, well, apparently not!.",1,1
87,"                CHANDLER: Okay, are you aware unagi  is an eel?.",1,1
88,                MONICA: Cover yourself up!.,0,0
89,"                ROSS: So, I'm sorry I just don't think we should go away together yet..",0,0
90,                MONICA: No!! You have been screwing us all day!.,0,0
91,"                JOEY: Oh sure, go with the sissy..",1,0
92,"                PERSON: Ross umm, there's something that I've got to tell you, there's-there's someone else..",0,0
93,"                RACHEL: Ross-Ross, you have no idea what this means to me!.",0,0
