,Text,Label,pred
0,                No one up? Okay cool #not.,1,0
1,"                Blue skies, warm air, and the royal accommodation! #WhatMoreDoesOneNeed #Education? #Not... http://t.co/mEtHUIaAtR http://t.co/CsW0rfhGZZ.",1,0
2,                Love #hiphop mix tapes or have a mixtape to promote check out http://t.co/p3gz74UIhG follow them on twitter #undergroundhiphop.,0,1
3,"                Extended cut ""NICHA"" https://t.co/qdzpcuRqc1 #trailer #spoof #film #dramatic #action #film2014 #youtube #fightscenes.",0,0
4,"                we are all the same race, HUMAN the only race supported by the Human Genome Project @CalFreedomMom @RBRNetwork1 @msnbc @CNN @dkuck15138.",0,0
5,"                If Comes From The #heART Then They EXPRESS it, Connect @the3rdeyeBrand or http://t.co/MFGlfnDGRk #thankyou #3rdeyebrand.",0,1
6,                @reisawal I swear we must be twins.,0,0
7,                Can holidays last forever?? #happytimes #sundayout #mewearing #wyoustores #elenawearswyou #chanelboybag #chanel... http://t.co/vmcHI7XB88.,0,0
8,"                The Rondo, Ellis, Parsons, Dirk, Chandler starting line up would be one of my favorites in league. Mavs should go all out for Rondo..",0,0
9,                Best Christmas Eve news: I have a half sister. 😂👍 #sarcasm #thanksdad.,1,0
10,"                My coach is so supportive. ""tighten your belt, pick up the weight and just do it."" #sarcasm #ithinkhehatesmesomedays #itsmostlylove.",1,0
11,                #notcies #eu Cleaner air would offer major health benefits in the Balkans http://t.co/ddhYo37IRd.,0,1
12,                @WendyWilliams that's some bullshit that's a complete rip off for those items. And I bet some of u idiots really that's a good sale. #NOT.,1,1
13,                @GalloSays at least there's a good football game on with zero chance of either of our teams losing lol.,0,0
14,                Welll helllo fever. Id say 103 is feelin real good today #not.,1,1
15,                @YasminaBen1 please note #sarcasm in last tweet before you kill yourself ;) many good pros including @BalancePhysio can show you best usage.,0,0
16,                @emm_pearce @Napwell 3 more nights 3 more nights 😬😬😬 #londoncalling http://t.co/oZt0e541P9.,0,0
17,                Incredible insight on the @VIKTORIAMODESTA #bornrisky campaign: http://t.co/9UJQRmsKJm #amputee #movement #equality #art #prosthetics.,0,0
18,"                @ManUtdstholder @hunts9 You're #not familiar #with Matt Busby, #then. Lol..",0,1
19,                I feel and look like shit. #rainyday #nomakeup #sorrynotsorry http://t.co/xxPU1lb2ki.,0,0
20,                @deray Definitely not...racism is systematic and entrenched in every American institution..also in black/white binary construction.,0,1
21,                It's all about Twitter #not a clue.,0,1
22,                HAPPY BIRTHDAY BECCA. I just looked through ALL of my pictures which you know is a ton and found my... http://t.co/2MMjzzsayV.,0,0
23,"                HELLO Wednesday! BY THE WAY IT'S December 10, 2014 at 02:15PM! (just a random information).",0,0
24,                @restlessduncan @SR_Duncan At least you got my joke.,0,0
25,"                My dad's still gonna get me santa's gifts since it's my last year before 18, but I really don't know what to ask for... #irony.",1,0
26,"                Agree with that... #we #are #not #mind #readers #haha||#Repost 9gag ⁰You may think we are, but we are... http://t.co/PEUz57XHmD.",0,1
27,                Exam na jud. Merry christmas. ||#Sarcasm|#KillUsSlowly.,1,1
28,                @KirstieMAllsopp one hope this gets a RT! #recycling #roses #holly #wreath #MerryChristmas http://t.co/ZNNZtQCvCt.,0,1
29,"                @kevinperry Would be also great if David teamed up with his old man again at the Carols, similar to a few years back.#Greatdou in both cases.",0,0
30,                So glad I'm off work tonite🙋.,0,1
31,                Photo: Tuxedo Jumpsuit Sizes:Small-Large Color:Black Price:$65.00 Leave email and size for invoice http://t.co/wZ5qR1PIDB.,0,0
32,                #AskSuperwomanLIVE if you could swim in any liquid besides water what would you swim in?@IISuperwomanII |4.,0,1
33,                @Wallace17_daKid Way to lay out yesterday and put it all on the line #GoodLeader #Sarcasm.,1,1
34,"                Yeah, you're a grown up & at times feel very nostalgic towards your Bachpan. Iife's handiwork!!.",0,1
35,                Decemberbessen #not #fail #footprint sorry.... http://t.co/wsoYa1Wu1J.,1,1
36,                Remember that one time I worked both jobs while sick and it didnt suck at all... #sarcasm #notworthit.,1,0
37,                Set my alarm for PM not AM...guess you could say I've got my life together #not sorry @PE_Tweetcher #Pearlburg mom and Jesus.,1,1
38,                Been at the ER now since 10... #yay #not.,1,1
39,                This long drive home later in the snow is gonna be shweeeet #not.,1,0
40,                @MoAnsar @LouiseMensch Talking to yourself again Mo #Irony.,0,1
41,                'nuff #Bob #Couldn039t #Not #Repin #Ross #tattoo|Please RT: http://t.co/3npPprWgTh http://t.co/HNNHaANRAU.,0,0
42,                #UKArtistOnly @1071WnegRadio @ProclamationMTS @DatUrbanConnect present. #UKUntoldStory #MIXTape #GetOn #DUCMG.,0,0
43,                #Warn them that your degree of #sarcasm depends on them in this #funny tank top! Order now at http://t.co/UYSi2qgA4S! http://t.co/yjQh8wj3ni.,0,0
44,"                @SusanCalman @ClaireofThorpe Yet no ""dog in the manger"" that actually makes it a dog in a manger story #Irony.",1,0
45,                At the Toys for Lil Troops event for @USVeteransCorps donating toys to children of deployed and low income troops. http://t.co/IBkWl858EE.,0,0
46,                Once again @BarackObama is re writing history re: #CubaEmbargo! *primal scream* #tcot.,0,1
47,                @andygreencre8iv @_BARRYISLAND_ Pulled by White Van Man by the looks of it. Yuk.. so naff. That keeps the magic of xmas alive..#NOT.,1,1
48,                Just entered the @bbcstrictly competition for tickets to the final! Fingers crossed @theandrewe.,0,1
49,                @ALL #Not #Long To Go #Before #MainStream #Media #Pitch. #Surgery #follows #with #me #using #Prototype #demonstrating #real #situation.Phil.,0,0
50,                Nooooooooooo again it's on!!! #PickANewSong #CantStandIt.,0,0
51,                @LukeLPearson hmm... let me think about that #sarcasm.,1,0
52,                @ParasiteCoD maybe you should grind the gym man #not #calling #you #fat.,1,1
53,                @Adsy_1 You're a tough bugger ;p.,0,0
54,"                @zainabimam ""Malala is fake and planted by the US coz Pakistan is perfectly safe for kids going to school"" #PeshawarAttack #Sarcasm.",1,1
55,                Waking up with a pounding headache is just what I need for this final #sarcasm.,1,1
56,                Who said that birthday girl can't celebrate the next day??? ☺️☺️ #celebrating #always #nighout #birthdaygirl... http://t.co/P5Ex0ONecU.,0,1
57,"                Today stats: One follower, No unfollowers and followed 2 people via http://t.co/3h4S1RT3hh.",0,1
58,                I wonder what was the holiday rituals for true Africans.,0,0
59,"                I'm so sore, work tomorrow is gonna be fun.. #not.",1,1
60,                @mfouesneau It's so the speaker remembers their talk's over. Otherwise how would they know? #sarcasm.,1,1
61,                Just got yelled at by proxy. It's going to be an excellent day. #sarcasm.,1,0
62,                Coin! LeCoinCanard: Coin! LeCoinCanard: Coin! have a wank over this hashtag: Fazzanelli: JeffRoylat have a wank over this hashtag #Not....,1,0
63,                You are taking your responsibilities so seriously today that i... More for Leo http://t.co/HJ6TebH4o6.,0,0
64,                My body refuses to sleep. #fucccck.,0,1
65,"                @JeffDauler @Scottydons87 the cop also had prior misconduct charges. But, ya know, that's ok #sarcasm.",1,1
66,"                Change is a Process, ||#Not an Event dafuq you thinking.",0,1
