Text,Label,prompt,llm_output,pred
@Callisto1947 Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to http://t.co/JUmMWi0AyT,0,"[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic']. Only return the label without any other texts.'''\n\n        ### Input:\n        @Callisto1947 Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to http://t.co/JUmMWi0AyT\n\n        ### Response:\n\n        ""}]","assistant

sarcastic",1
"Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony",1,"[{'role': 'user', 'content': '\n        ### Instruction:\n        \'\'\'You are a sarcasm classification classifier. Assign a correct label of the Input text from [\'Not Sarcastic\', \'Sarcastic\']. Only return the label without any other texts.\'\'\'\n\n        ### Input:\n        Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony\n\n        ### Response:\n\n        '}]","assistant

sarcastic",1
#NOT GONNA WIN http://t.co/Mc9ebqjAqj,0,"[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic']. Only return the label without any other texts.'''\n\n        ### Input:\n        #NOT GONNA WIN http://t.co/Mc9ebqjAqj\n\n        ### Response:\n\n        ""}]","assistant

sarcastic",1
@mickymantell He is exactly that sort of person. Weirdo!,0,"[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic']. Only return the label without any other texts.'''\n\n        ### Input:\n        @mickymantell He is exactly that sort of person. Weirdo!\n\n        ### Response:\n\n        ""}]","assistant

sarcastic",1
So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm,1,"[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic']. Only return the label without any other texts.'''\n\n        ### Input:\n        So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm\n\n        ### Response:\n\n        ""}]","assistant

sarcastic",1
Corny jokes are my absolute favorite,0,"[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic']. Only return the label without any other texts.'''\n\n        ### Input:\n        Corny jokes are my absolute favorite\n\n        ### Response:\n\n        ""}]","assistant

not sarcastic",0
"People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life",1,"[{'role': 'user', 'content': '\n        ### Instruction:\n        \'\'\'You are a sarcasm classification classifier. Assign a correct label of the Input text from [\'Not Sarcastic\', \'Sarcastic\']. Only return the label without any other texts.\'\'\'\n\n        ### Input:\n        People complain about my backround pic and all I feel is like ""hey don\'t blame me, Albert E might have spoken those words"" #sarcasm #life\n\n        ### Response:\n\n        '}]","assistant

sarcastic",1
"@SR_Duncan @benpobjie Darn, my sock joke needs fixing?",0,"[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic']. Only return the label without any other texts.'''\n\n        ### Input:\n        @SR_Duncan @benpobjie Darn, my sock joke needs fixing?\n\n        ### Response:\n\n        ""}]","assistant

sarcastic",1
"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿",0,"[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic']. Only return the label without any other texts.'''\n\n        ### Input:\n        if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿\n\n        ### Response:\n\n        ""}]","assistant

sarcastic",1
"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself",1,"[{'role': 'user', 'content': '\n        ### Instruction:\n        \'\'\'You are a sarcasm classification classifier. Assign a correct label of the Input text from [\'Not Sarcastic\', \'Sarcastic\']. Only return the label without any other texts.\'\'\'\n\n        ### Input:\n        People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself\n\n        ### Response:\n\n        '}]","assistant

sarcastic",1
