,Text,Label,pred
0,                HOWARD: Smart. Whisper so the deaf chick can't hear you..,1,1
1,"                RAJ: I've, uh, created some other user accounts so I can post positive comments about their paper..",0,1
2,"                SHELDON: On the bright side, that Oxford study was right. One friend down. I wonder who you're going to lose next..",1,1
3,"                AMY: There they go, fighting again. You'd never hear her talk that way to Sauvignon Blanc..",1,1
4,                RAJ: You have a thing of paper clips right there..,0,0
5,"                PERSON: Yeah, I'm really looking forward to it. In fact, there's no place I would rather be than here..",1,0
6,"                PERSON1: Well, that wady took high-wes pictures of my junk wast night for Cwaigswist..",0,1
7,"                HOWARD: Not exactly. Listen, if you don't mind, I'm not really up for chatting. I'm just going to sit here quietly and let my life flash before my eyes..",0,1
8,"                SHELDON: Next time I might be in a rush, it's good to have a few in the bank..",0,1
9,"                HOWARD: You know, if you're really serious about that, I hear there are some exciting opportunities in home care for the old and fat..",1,0
10,"                SHELDON: No, but maybe she wants a man with a pocket watch..",0,0
11,                LEONARD: I'm starting to get a sense of it..,1,1
12,"                PENNY: Oh, my God, that's where I know you from..",1,1
13,"                PENNY: No, you're right, we should do what you do. Have our mom send us pants from the Walmart in Houston..",1,1
14,"                SHELDON: As you may know, I've been experimenting with elevated anxiety levels, and I thought, what better way to increase my discomfort than to subject myself to an evening of tasteless uncensored crotch talk?.",0,0
15,                HOWARD: Doesn't Professor Abbott's family want any of this stuff?.,0,1
16,"                RAJ: Go out with me on one date, and I promise you, you'll see..",0,0
17,"                SHELDON: No. You mean this was all a ruse? Oh, how could I be so stu....",0,0
18,"                AMY: I enjoyed it. When you told me I was going to be ""losing my virginity,"" I didn't think you meant showing me <i>Raiders of the Lost Ark</i> for the first time..",1,0
19,"                HOWARD: Oh, just put it in your mouth and pop it like a zit..",0,0
20,"                LEONARD: Also instead of just living in your mother's house, you could actually live inside her body..",1,0
21,"                RAJ: Not much, but he seemed to be in a pretty good place..",0,1
22,                PENNY: Maybe it's a good thing we came here. It's like a lesson in what not to do..,1,1
23,"                AMY: Oh, screw her. She's just lucky we let her hang out with us..",0,0
24,                HOWARD: I love that you're too good to pee in the kitchen sink..,1,0
25,                PENNY: Is that why you had to take him to Office Depot last night?.,0,1
26,"                SHELDON: You see betrayal in others, but not yourself..",1,0
27,"                SHELDON: Yes, there's nothing quite like the slightly widened eyes of mildly startled..",1,0
28,"                RAJ: Dumped her? What, did he use a forklift?.",1,0
29,"                HOWARD: Yeah, well, Bernadette's a little under the weather and my mom's kind of under my dentist..",0,1
30,"                HOWARD: I guess the sad truth is, not everyone will accomplish something great. Some of us may just have to find meaning in the little moments that make up life..",0,0
31,"                SHELDON: You know, the holidays are just around the corner. Maybe he wants to see if he can lodge the other testicle up there..",1,1
32,"                BERNADETTE: I love that you take pride in your looks, even when I have to pee in the morning, and you're in there spending an hour on your hair..",1,0
33,"                PERSON: Well, he said it was a tribble. It could be a toupee, but either way, it's pretty cool..",0,1
34,                SHELDON: You'd think a winner could make a decent cup of cocoa..,1,1
35,"                SHELDON: Oh, you're hardly out of the woods, no. You still run the risk of infection, a blood clot, the possibility that an inattentive surgeon let a barn spider lay eggs in your nose..",0,0
36,"                BERNADETTE: Wow, you still have it? I just assumed it was balled up in the corner of a barn somewhere..",1,1
