Text,Label,cue_0,boc_prompt_0,cue_1,boc_prompt_1,cue_2,boc_prompt_2,boc_output_0,boc_label_0,boc_output_1,boc_label_1,boc_output_2,boc_label_2,pred
@Callisto1947 Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to http://t.co/JUmMWi0AyT,0,"['common knowledge', 'punctuation', 'rhetorical devices', 'language style', 'special symbols']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: common knowledge, punctuation, rhetorical devices, language style, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        @Callisto1947 Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to http://t.co/JUmMWi0AyT

        ### Response: 

        ### Label: 

        ","['rhetorical devices', 'context', 'emotional contrasts', 'common knowledge', 'special symbols']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: rhetorical devices, context, emotional contrasts, common knowledge, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        @Callisto1947 Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to http://t.co/JUmMWi0AyT

        ### Response: 

        ### Label: 

        ","['keywords', 'language style', 'punctuation', 'context', 'surface emotion']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: keywords, language style, punctuation, context, surface emotion from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        @Callisto1947 Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to http://t.co/JUmMWi0AyT

        ### Response: 

        ### Label: 

        ","sarcastic 

         ### explanation: 

         the text includes multiple cues indicating sarcasm: 
         1. the use of ""you $"" in all capital letters, which is an exaggeration and unusual emphasis, suggesting irony. 
         2. the phrase ""get paid 4 posting stuff like this!"" implies that the speaker is being facetious about the opportunity, as it sounds too good to be true. 
         3. the language style is informal and playful, with abbreviations like ""u"" and ""4"", which can be seen as mocking or tongue-in-cheek. 
         4. the use of multiple special symbols like ""@"", ""#"", ""||"", and ""http"" adds to the overall tone of the message, making it seem more like a joke than a genuine request. 
         overall, the tone and language used in the message suggest that the speaker is being sarcastic.",1.0,"sarcastic

        the input text is labeled as sarcastic. the cues that suggest sarcasm are:

        * the use of the phrase ""more conservatives needed"" with a sense of irony and exaggeration, implying that there are already too many conservatives.
        * the tone of the message is informal and playful, which contrasts with the serious topic of politics.
        * the use of the symbol ""$"" in ""you $ can go"" is an emotional contrast, as it's an unusual way to write the word ""you"" and adds a touch of humor to the message.
        * the context of the message is an invitation to join a platform and get paid for posting, which is an unusual and possibly ironic request.

        overall, the tone and language used in the message suggest that the author is being sarcastic and ironic, rather than making a genuine request.",1.0,"the label for this text is 'sarcastic'. 

         here's why:

         - keywords: the text contains keywords like 'more conservatives needed' which may seem serious at first but the context of the sentence suggests otherwise. the phrase 'get paid 4 posting stuff like this' implies that the conservatives are needed to post certain content for a monetary gain, which is a sarcastic tone.

         - language style: the language style is casual and informal, with the use of abbreviations like 'u' instead of 'you' and '4' instead of 'for'. this suggests that the tone is not serious.

         - punctuation: the use of '!' at the end of the sentence adds to the sarcastic tone.

         - context: the context of the sentence is about posting content on a platform (#tsu) and getting paid for it. this context is often associated with spam or clickbait content, which is typically sarcastic.

         - surface emotion: the surface emotion of the text appears to be excitement or enthusiasm, but the context and keywords suggest that it's actually sarcasm.",1.0,1.0
"Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony",1,"['topic', 'emotional contrasts', 'emotional words', 'common knowledge', 'special symbols']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: topic, emotional contrasts, emotional words, common knowledge, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony

        ### Response: 

        ### Label: 

        ","['keywords', 'rhetorical devices', 'special symbols', 'surface emotion', 'context']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: keywords, rhetorical devices, special symbols, surface emotion, context from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony

        ### Response: 

        ### Label: 

        ","['language style', 'topic', 'common knowledge', 'surface emotion', 'context']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: language style, topic, common knowledge, surface emotion, context from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony

        ### Response: 

        ### Label: 

        ","sarcastic

        ### reasoning: 

        the label assigned to this text is 'sarcastic' because it contains several cues that are indicative of sarcasm. 

        topic: the topic is a visit to starbucks, which is a common everyday experience, but the language used to describe it is ironic and playful.

        emotional contrasts: the use of 'hahahaha' suggests amusement or laughter, which contrasts with the ordinary and mundane topic of visiting starbucks.

        emotional words: the word 'hahahaha' is an emotional word that expresses amusement or irony.

        common knowledge: the use of '#starbucks' is an indicator of common knowledge and shared experience.

        special symbols: the use of '#' symbols is a common way to indicate irony or sarcasm on social media platforms.

        overall, the text uses irony and playful language to describe a mundane experience, which is a hallmark of sarcastic language.",1.0,"sarcastic 

        ### reasoning: 

        1. keywords: the text contains the word ""irony"" which is a clear indicator of sarcasm. the use of ""hahahaha"" also suggests that the author is being sarcastic.

        2. rhetorical devices: the use of irony is a rhetorical device that indicates sarcasm.

        3. special symbols: the use of ""#"" is a special symbol indicating a hashtag, which is often used in a humorous or ironic way.

        4. surface emotion: the text expresses a sense of amusement or humor, which is often associated with sarcasm.

        5. context: the context of the sentence, asking for a ""tall blonde"" at starbucks, is a play on words, as ""tall blonde"" can refer to both a coffee drink and a person. this play on words is a common characteristic of sarcastic language.",1.0,"sarcastic

        ### cues: 

        - language style: the use of the phrase ""hahahaha"" indicates a playful tone, which is a common feature of sarcastic language.
        - topic: the topic is a personal experience at starbucks, which is a relatable and mundane topic, making it a prime candidate for sarcasm.
        - common knowledge: the use of the hashtag #irony suggests that the speaker is aware of the irony in the situation and is using it to make a humorous point.
        - surface emotion: the use of ""hahahaha"" suggests that the speaker is amused or playful, which can be a surface-level indicator of sarcasm.
        - context: the context of the tweet, including the hashtags and the tone, suggests that the speaker is using sarcasm to make a humorous comment about the situation.",1.0,1.0
#NOT GONNA WIN http://t.co/Mc9ebqjAqj,0,"['common knowledge', 'cultural background', 'emotional contrasts', 'emotional words', 'language style']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: common knowledge, cultural background, emotional contrasts, emotional words, language style from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        #NOT GONNA WIN http://t.co/Mc9ebqjAqj

        ### Response: 

        ### Label: 

        ","['surface emotion', 'emotional words', 'keywords', 'language style', 'special symbols']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: surface emotion, emotional words, keywords, language style, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        #NOT GONNA WIN http://t.co/Mc9ebqjAqj

        ### Response: 

        ### Label: 

        ","['special symbols', 'keywords', 'context', 'punctuation', 'common knowledge']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: special symbols, keywords, context, punctuation, common knowledge from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        #NOT GONNA WIN http://t.co/Mc9ebqjAqj

        ### Response: 

        ### Label: 

        ","sarcastic

        ### explanation: 

        the tweet uses the phrase ""not gonna win"", which is a clear exaggeration and an obvious opposite of what the person actually means, implying that they think they will win. this is a common characteristic of sarcasm, where the literal meaning is opposite of the intended meaning. the use of all capital letters for ""not gonna win"" also adds to the sarcastic tone. the tone of the tweet is informal and conversational, which is consistent with the language style of sarcasm. therefore, the label assigned to this tweet is ""sarcastic"".",1.0,"sarcastic

        ### explanation: 

        the input text is labeled as 'sarcastic' due to several cues. firstly, the surface emotion is one of disappointment or frustration, which is indicated by the phrase 'not gonna win'. however, the use of all capital letters and the phrase 'not gonna win' is exaggerated and ironic, which suggests sarcasm. additionally, the presence of the url 'http://t.co/mc9ebqjaqj' implies that the speaker is sharing a link that contradicts their statement, further supporting the sarcastic tone. the language style is also informal and casual, with the use of colloquialisms like 'gonna', which is typical of sarcastic language. overall, the combination of these cues suggests that the input text is sarcastic.",1.0,"sarcastic 

        ### reasoning: 

         the presence of the symbol '#' and 'not' in capital letters, along with the phrase 'gonna win', which is often used in an ironic or sarcastic tone, suggest that the text is sarcastic. the url provided also adds to the sarcastic tone, implying that the speaker is being facetious.",1.0,1.0
@mickymantell He is exactly that sort of person. Weirdo!,0,"['punctuation', 'emotional contrasts', 'topic', 'cultural background', 'language style']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: punctuation, emotional contrasts, topic, cultural background, language style from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        @mickymantell He is exactly that sort of person. Weirdo!

        ### Response: 

        ### Label: 

        ","['language style', 'keywords', 'cultural background', 'context', 'topic']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: language style, keywords, cultural background, context, topic from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        @mickymantell He is exactly that sort of person. Weirdo!

        ### Response: 

        ### Label: 

        ","['emotional contrasts', 'cultural background', 'rhetorical devices', 'keywords', 'special symbols']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: emotional contrasts, cultural background, rhetorical devices, keywords, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        @mickymantell He is exactly that sort of person. Weirdo!

        ### Response: 

        ### Label: 

        ","sarcastic 

         ### reason: 

         the use of the word ""weirdo"" with an exclamation mark at the end implies a strong emotional tone, which contrasts with the initial phrase ""he is exactly that sort of person"" that seems neutral. this emotional contrast is a cue for sarcasm. additionally, the tone of the sentence is informal, which is typical of social media language, and the use of an exclamation mark and the word ""weirdo"" suggests a playful or mocking tone, which is another cue for sarcasm.",1.0,"sarcastic 

         ### explanation: 

         in this tweet, the language style is informal, with an exclamation mark, which often indicates strong emotions. the keyword ""weirdo"" is used to emphasize the speaker's negative opinion, and the tone is mocking. the context is a response to someone, possibly making a statement about this person, and the topic is this person's character. the cultural background of the tweet is likely western, where the term ""weirdo"" is commonly used in an informal setting. overall, the tone is playful and sarcastic, which leads to the classification of 'sarcastic'.",1.0,"sarcastic 

        ### explanation: 

         the use of the word ""exactly"" and the phrase ""that sort of person"" creates an emotional contrast, implying that the person being referred to is not what they seem to be. the tone is also informal, which is typical of sarcastic language. additionally, the use of the word ""weirdo"" is a clear indicator of sarcasm, as it's a pejorative term used to mock or ridicule someone. the use of the ""@"" symbol, which is commonly used on social media to address someone, also adds to the informal tone and suggests that the comment is intended to be humorous or ironic. overall, the language and tone used in this tweet suggest that it's meant to be sarcastic.",1.0,1.0
So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm,1,"['common knowledge', 'context', 'cultural background', 'special symbols', 'punctuation']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: common knowledge, context, cultural background, special symbols, punctuation from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm

        ### Response: 

        ### Label: 

        ","['language style', 'context', 'emotional contrasts', 'emotional words', 'punctuation']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: language style, context, emotional contrasts, emotional words, punctuation from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm

        ### Response: 

        ### Label: 

        ","['topic', 'cultural background', 'context', 'keywords', 'special symbols']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: topic, cultural background, context, keywords, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm

        ### Response: 

        ### Label: 

        ",sarcastic,1.0,"sarcastic

        ### explanation:

         the language style of the text is informal, using colloquial expressions like ""mate"" and abbreviations like ""#sarcasm"" which suggests a casual tone. the context of the text is complaining about the workplace, which is a common topic for sarcastic remarks. the emotional contrast is evident in the use of strong negative words like ""#boring"", ""#shit"", and ""#dead"" to describe the workplace, which is exaggerated and ironic. the presence of the hashtag ""#sarcasm"" is a clear indicator of sarcasm. the use of punctuation, especially the excessive use of ""#"" and ""mate"" adds to the sarcastic tone. overall, the text is labeled as sarcastic.",1.0,"sarcastic 

        ### explanation: 

        topic: workplace 
        cultural background: likely western, possibly british 
        context: the speaker is expressing frustration and boredom at their job 
        keywords: #sarcasm, #boring, #dead, #shit, #sleeping 
        special symbols: #, mate (informal term commonly used in british english) 
        the label is sarcastic because the speaker is using irony and exaggeration to express their frustration and boredom. the hashtags and the use of ""mate"" also indicate a playful, tongue-in-cheek tone.",1.0,1.0
Corny jokes are my absolute favorite,0,"['rhetorical devices', 'emotional words', 'keywords', 'cultural background', 'surface emotion']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: rhetorical devices, emotional words, keywords, cultural background, surface emotion from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        Corny jokes are my absolute favorite

        ### Response: 

        ### Label: 

        ","['context', 'topic', 'emotional words', 'punctuation', 'common knowledge']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: context, topic, emotional words, punctuation, common knowledge from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        Corny jokes are my absolute favorite

        ### Response: 

        ### Label: 

        ","['keywords', 'punctuation', 'cultural background', 'topic', 'language style']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: keywords, punctuation, cultural background, topic, language style from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        Corny jokes are my absolute favorite

        ### Response: 

        ### Label: 

        ","sarcastic

        ### cues:

        * rhetorical devices: hyperbole (absolute favorite)
        * emotional words: none
        * keywords: corny (which usually has a negative connotation)
        * cultural background: none
        * surface emotion: positive (favorite), but the word ""corny"" suggests the opposite, which is a sign of sarcasm.",1.0,"sarcastic

        ### reasoning: 
        the cue of emotional words (""absolute favorite"") along with the context of the topic (""corny jokes"") suggests that the speaker is being sarcastic. the use of superlatives (""absolute favorite"") also implies that the speaker is being insincere or ironic. therefore, the correct label is 'sarcastic'.",1.0,"sarcastic

        ### explanation: 

        in this text, the keyword ""absolute favorite"" is an exaggeration, which is a common feature of sarcastic language. the use of superlatives like ""absolute"" can indicate irony or sarcasm, especially when combined with a statement that is not entirely believable. additionally, the topic of ""corny jokes"" is not typically something that people would genuinely claim to be their favorite, which adds to the sarcastic tone. the language style is also informal and playful, which is consistent with sarcastic language. overall, the combination of these cues suggests that the text is sarcastic.",1.0,1.0
"People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life",1,"['topic', 'emotional words', 'special symbols', 'common knowledge', 'context']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: topic, emotional words, special symbols, common knowledge, context from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life

        ### Response: 

        ### Label: 

        ","['language style', 'emotional words', 'surface emotion', 'emotional contrasts', 'cultural background']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: language style, emotional words, surface emotion, emotional contrasts, cultural background from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life

        ### Response: 

        ### Label: 

        ","['rhetorical devices', 'common knowledge', 'emotional contrasts', 'punctuation', 'keywords']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: rhetorical devices, common knowledge, emotional contrasts, punctuation, keywords from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life

        ### Response: 

        ### Label: 

        ","sarcastic

         ### reasoning:

         this text is labeled as 'sarcastic' because it contains several cues that suggest sarcasm:

         topic: the topic of the text is about people complaining about the user's background picture, which is a relatable and common scenario.

         emotional words: the words ""blame"" and ""complain"" have negative connotations, indicating that the user is annoyed or frustrated with the situation.

         special symbols: the use of quotation marks around ""hey don't blame me, albert e might have spoken those words"" suggests that the user is being facetious or ironic.

         common knowledge: the reference to albert einstein (""albert e"") is a clear exaggeration and an absurd comparison, implying that the user is being sarcastic.

         context: the hashtag ""#sarcasm"" at the end of the text explicitly indicates that the user intends to be sarcastic.",1.0,"sarcastic

        ### explanation: 
        the language style in the input text is casual and conversational, which is often used in sarcastic tone. the emotional word ""blame"" and the use of quotation marks around the phrase ""hey don't blame me"" implies a sense of annoyance and frustration, which is a common emotional tone in sarcastic texts. the surface emotion of the text appears to be defensive, but the emotional contrast lies in the fact that the speaker is using a famous quote to deflect the blame, which is an ironic and sarcastic move. the use of the hashtag ""#sarcasm"" also explicitly indicates the sarcastic tone of the text. overall, the cues suggest that the input text is sarcastic.",1.0,"sarcastic

         ### explanation: 

         this text is classified as sarcastic because it uses a rhetorical device, specifically irony. the speaker is saying the opposite of what they really mean, which is that they don't care about people's opinions on their background picture. the use of a famous historical figure, albert einstein, adds to the irony and sarcasm. the hashtags ""#sarcasm #life"" also explicitly indicate that the tone is sarcastic. the quotation marks around the phrase ""hey don't blame me, albert e might have spoken those words"" further emphasize the irony and sarcasm.",1.0,1.0
"@SR_Duncan @benpobjie Darn, my sock joke needs fixing?",0,"['topic', 'emotional words', 'special symbols', 'keywords', 'cultural background']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: topic, emotional words, special symbols, keywords, cultural background from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        @SR_Duncan @benpobjie Darn, my sock joke needs fixing?

        ### Response: 

        ### Label: 

        ","['emotional contrasts', 'keywords', 'special symbols', 'topic', 'cultural background']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: emotional contrasts, keywords, special symbols, topic, cultural background from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        @SR_Duncan @benpobjie Darn, my sock joke needs fixing?

        ### Response: 

        ### Label: 

        ","['keywords', 'emotional words', 'common knowledge', 'punctuation', 'cultural background']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: keywords, emotional words, common knowledge, punctuation, cultural background from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        @SR_Duncan @benpobjie Darn, my sock joke needs fixing?

        ### Response: 

        ### Label: 

        ","sarcastic

        ### cues: 

        - topic: sock joke
        - emotional words: darn (a mild expression of frustration, which could be ironic)
        - special symbols: @ (twitter handle, which could indicate an informal tone)
        - keywords: needs fixing (implying that the joke is not good, which could be sarcastic)
        - cultural background: twitter culture, where humor and irony are common.",1.0,"sarcastic 

        ### explanation: 

        the label assigned to this input is 'sarcastic'. here's why:

        * emotional contrast: the tone of the sentence is casual and conversational, but the content is seemingly negative ('needs fixing'), which creates an emotional contrast.
        * keywords: the word 'darn' is often used in an ironic or sarcastic tone, which indicates sarcasm.
        * special symbols: the use of '@' symbols suggests a twitter-like conversation, which often employs sarcasm.
        * topic: the topic is a sock joke, which is a mundane and perhaps unimpressive subject, making the sarcastic tone more likely.
        * cultural background: the cultural background of this tweet is likely western, where sarcasm is a common tone in online communication.

        these cues collectively suggest that the input text is sarcastic.",1.0,"sarcastic 

        ### reasoning: 

        the use of the word ""darn"" is a clear indicator of sarcasm, as it is an overly polite and old-fashioned expression that is often used in a tongue-in-cheek manner. additionally, the phrase ""my sock joke needs fixing"" is a clear exaggeration and an absurd statement, implying that the speaker is being facetious. the use of the question mark at the end of the sentence also adds to the sarcastic tone, as it implies that the speaker is being rhetorical and doesn't actually expect a serious response. the context of the tweet, which is addressed to two specific users, also suggests that the speaker is being playful and humorous, which is consistent with a sarcastic tone.",1.0,1.0
"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿",0,"['punctuation', 'rhetorical devices', 'keywords', 'common knowledge', 'context']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: punctuation, rhetorical devices, keywords, common knowledge, context from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿

        ### Response: 

        ### Label: 

        ","['context', 'special symbols', 'rhetorical devices', 'common knowledge', 'keywords']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: context, special symbols, rhetorical devices, common knowledge, keywords from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿

        ### Response: 

        ### Label: 

        ","['language style', 'cultural background', 'common knowledge', 'keywords', 'special symbols']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: language style, cultural background, common knowledge, keywords, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿

        ### Response: 

        ### Label: 

        ","sarcastic 

        ### explanation: 
        the presence of the word ""if"" and the phrase ""he's wrong"" indicates a tone of sarcasm. additionally, the use of the emoji 👿 further reinforces the sarcastic tone. the sentence structure and the absurdity of the situation (fifa sleeping in someone's bed) also contribute to the classification of this text as sarcastic.",1.0,"sarcastic

        ### reasoning: 

        the context of the sentence implies a ridiculous scenario, where christian expects fifa (a video game or organization) to sleep in the speaker's bed, which is absurd. the use of the devil emoji (👿) also adds a playful and sarcastic tone to the sentence. this combination of cues strongly suggests that the sentence is sarcastic.",1.0,"sarcastic 

         ### reasoning: 

         this text is labeled as sarcastic because of the use of the phrase ""he's wrong"" which is an indicator of sarcasm, as it implies that the expectation is absurd. additionally, the use of the emoji 👿 (a devil face) also suggests sarcasm and playfulness, implying that the speaker is being facetious. the language style is also informal and conversational, which is typical of sarcastic tone.",1.0,1.0
"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself",1,"['emotional words', 'context', 'special symbols', 'language style', 'punctuation']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: emotional words, context, special symbols, language style, punctuation from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself

        ### Response: 

        ### Label: 

        ","['cultural background', 'punctuation', 'keywords', 'common knowledge', 'emotional contrasts']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: cultural background, punctuation, keywords, common knowledge, emotional contrasts from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself

        ### Response: 

        ### Label: 

        ","['surface emotion', 'special symbols', 'topic', 'emotional contrasts', 'keywords']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: surface emotion, special symbols, topic, emotional contrasts, keywords from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself

        ### Response: 

        ### Label: 

        ","sarcastic

        ### explanation: 
        the presence of emotional words like ""favorite"" which is used in a negative context to express irony and annoyance, and the use of hashtags ""#not"" which is a common way to express irony or sarcasm online, are strong indicators of sarcasm. the context of the sentence also implies that the speaker is being facetious when they say that these people are their ""favorite kind of people"". the language style is casual and conversational, which is typical of online communication where sarcasm is more common. the use of quotation marks around ""just stop worrying about it"" also suggests that the speaker is mocking or ridiculing this phrase. overall, the combination of these cues suggests that the text is sarcastic.",1.0,"sarcastic 

        ### explanation: 
        this text is sarcastic because it uses irony and emotional contrast. the speaker says that people who tell others with anxiety to ""just stop worrying about it"" are their ""favorite kind of people"", which is clearly the opposite of what they mean. the use of the hashtags #not and #educateyourself also suggests sarcasm, as they are often used to express irony or annoyance. the tone is also informal and conversational, which is typical of sarcastic language. additionally, the cultural background of the text suggests that the speaker is likely from a western country where anxiety is a recognized mental health condition, and the phrase ""just stop worrying about it"" is often seen as an insensitive or uninformed response to someone's anxiety. overall, the combination of irony, emotional contrast, and cultural context suggest that this text is sarcastic.",1.0,"sarcastic 

        ### cues: 
        - surface emotion: anger
        - special symbols: #not
        - topic: anxiety
        - emotional contrasts: the phrase ""my favorite kind of people"" is used to express the opposite meaning, which is that the speaker dislikes people who say ""just stop worrying about it"".
        - keywords: ""just stop worrying about it"", ""#educateyourself"" (implies that the speaker thinks the people saying this are not educated about anxiety)",1.0,1.0
