Text,Context,Show,Label,prompt,llm_output,pred
SHELDON: It's just a privilege to watch your mind at work.,"LEONARD: I never would have identified the fingerprints of string theory in the aftermath of the Big Bang.
 SHELDON: My apologies. What's your plan?
",BBT,1,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        SHELDON: It's just a privilege to watch your mind at work.
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ","sarcastic

        ### explanation: 
        step 1: the surface sentiment of the sentence is positive, as it seems to be complimenting the other person.
        step 2: however, the context and tone of the sentence suggest that sheldon is being facetious and actually means the opposite, implying that the other person's mind is not impressive.
        step 3: comparing the surface sentiment and the true intention, it's clear that the sentence is sarcastic, as sheldon is saying the opposite of what he truly means.",1.0
PENNY: I don't think I'll be able to stop thinking about it.,"HOWARD: This is one of my favorite places to kick back after a quest. They have a great house ale.
 PENNY: Cool tiger.
 HOWARD: Yeah, I've had him since level ten.
 HOWARD: His name is Buttons.
 HOWARD: Anyway, if you had your own game character we could hang out, maybe go on a quest.
 PENNY: That sounds interesting.
 HOWARD: You'll think about it?
",BBT,1,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        PENNY: I don't think I'll be able to stop thinking about it.
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ","sarcastic 

        ### reasoning: 
        (if your confidence in your judgment is less than 90%, provide a detailed explanation)

        step 1: the surface sentiment of the sentence is negative, indicated by the phrase ""i don't think"".
        step 2: however, the context of the conversation is not provided, but the sentence itself seems to be ironic or sarcastic. the phrase ""i don't think i'll be able to stop thinking about it"" implies that the speaker is actually obsessed with the topic and can't stop thinking about it, which is opposite to what the surface sentiment suggests.
        step 3: comparing the surface sentiment and the true intention, it can be inferred that the sentence is sarcastic. the speaker is using irony to express their strong interest in the topic, which is opposite to what they literally say. therefore, the label is sarcastic.",1.0
"SHELDON: Since it's not bee season, you can have my epinephrine.","LEONARD: Here we go. Pad thai, no peanuts.
 HOWARD: But does it have peanut oil?
 LEONARD: I'm not sure. Everyone keep an eye on Howard in case he starts to swell up.
",BBT,0,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        SHELDON: Since it's not bee season, you can have my epinephrine.
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ","sarcastic 

        ### reasoning: 

        step 1: the surface sentiment seems to be generous, as the speaker is offering something to the other person.

        step 2: however, considering the context and tone, it's likely that the speaker is being facetious, as they're giving something away that's only useful during bee season.

        step 3: comparing the surface sentiment and the true intention, it's clear that the speaker is being sarcastic, as they're making a joke about giving away something useless.",1.0
"SHELDON: Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now traveling at approximately 120 miles an hour, hits them and is immediately sliced into three equal pieces.","PENNY: A marathon? How many Superman movies are there?
 SHELDON: You're kidding, right?
 PENNY: I do like the one where Lois Lane falls from the helicopter and Superman swooshes down and catches her. Which one was that?
 SHELDON: One.
 SHELDON: You realize that scene was rife with scientific inaccuracy.
 PENNY: Yes, I know, men can't fly.
 SHELDON: Let's assume that they can.
",BBT,0,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        SHELDON: Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now traveling at approximately 120 miles an hour, hits them and is immediately sliced into three equal pieces.
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ","sarcastic 

        ### reasoning: 

        this text is sarcastic because the scenario described is ridiculous and impossible. the tone is also very matter-of-fact and serious, which adds to the sarcasm. the use of technical terms like ""accelerating at an initial rate of 32 feet per second per second"" and ""traveling at approximately 120 miles an hour"" also suggests that the speaker is being facetious. the overall tone and language used suggest that the speaker is being sarcastic and ironic, rather than genuinely describing a real scenario.",1.0
SHELDON: I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,"SHELDON: Great Caesar's ghost, look at this place.
 LEONARD: So Penny's a little messy.
 SHELDON: A little messy?
 SHELDON: The Mandelbrot set of complex numbers is a little messy. This is chaos.
 SHELDON: Excuse me.
 SHELDON: Explain to me an organizational system where a tray of flatware on a couch is valid.
",BBT,1,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        SHELDON: I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ","sarcastic 

        ### explanation: 

        step 1: the surface sentiment is neutral because there's no obvious sentimental keywords or phrases. 

        step 2: the true intention is to mock or be facetious about the coffee table having a garage sale, which is an absurd scenario. 

        step 3: the contrast between the surface neutral sentiment and the absurdity of the scenario suggests that the statement is sarcastic.",1.0
"HOWARD: Sheldon, if you were a robot, and I knew and you didn't...","PERSON: On the other hand, no arousal.
 LEONARD: None?
 PERSON: None.
 LEONARD: Thank you for your time.
 PERSON: Thank you.
 LEONARD: None at all?
",BBT,0,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        HOWARD: Sheldon, if you were a robot, and I knew and you didn't...
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ","i will choose to output the result directly. the label is 'sarcastic'. the sentence is sarcastic because it is an imaginative scenario that is unlikely to happen, and the tone is playful and mocking, which is a characteristic of sarcasm.",1.0
"SHELDON: If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.","SHELDON: Oh, good Lord.
 LEONARD: God, that's a good song.
",BBT,1,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        SHELDON: If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ","sarcastic

         ### reasoning:
         step 1: the surface sentiment is positive and helpful, as indicated by the phrase ""oh, i hope"".
         step 2: however, the context of ""compiling a mix cd for a double suicide"" is dark and morbid, which contradicts the positive sentiment. the speaker is using irony and sarcasm to express disdain or annoyance.
         step 3: comparing the surface sentiment with the true intention, it is clear that the speaker is being sarcastic.",1.0
SHELDON: No. The dark crescent-shaped patterns under your arms conceal it nicely.,"LEONARD: How do I look?
 SHELDON: Could you be more specific?
 LEONARD: Can you tell I'm perspiring a little?
",BBT,1,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        SHELDON: No. The dark crescent-shaped patterns under your arms conceal it nicely.
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ","sarcastic

         ### reasoning: 

        step 1: the surface sentiment of the sentence seems to be complimenting or making a neutral comment about the person's appearance, using phrases like ""conceal it nicely"".

        step 2: however, the tone of the sentence is condescending and mocking, implying that the person has an obvious flaw (dark crescent-shaped patterns under their arms) that they are trying to hide. the use of the phrase ""conceal it nicely"" is likely being used in an ironic or sarcastic way to emphasize the opposite - that the flaw is not concealed at all.

        step 3: comparing the surface sentiment and the true intention, it is clear that the sentence is being sarcastic, as the speaker is not genuinely complimenting the person's appearance, but rather making a mocking comment. therefore, the correct label is sarcastic.",1.0
"SHELDON: How's this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university's ""chosen to hire you, despite the fact ""that you've done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement.","SHELDON: You know, I am not going to enjoy this party.
 LEONARD: I know, I'm familiar with you.
 SHELDON: The last department party, Professor Finkleday cornered me and talked about spelunking for 45 minutes.
 LEONARD: Yes, I was there.
 SHELDON: You know what's interesting about caves?
 LEONARD: What?
 SHELDON: Nothing.
 LEONARD: Then we'll avoid him, we'll meet the new department head, congratulate him, shake his hand and go.
",BBT,1,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        SHELDON: How's this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university's ""chosen to hire you, despite the fact ""that you've done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement.
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ","sarcastic

        ### explanation:
        this passage is an excellent example of sarcasm. 
        step 1: the surface sentiment seems to be polite and respectful, with phrases such as ""pleased to meet you"" and ""how fortunate for you."" 
        step 2: however, upon closer inspection, it becomes clear that the speaker, sheldon, is actually being extremely insulting and condescending. 
        he is mocking dr. gablehauser's lack of original research and suggesting that his popular books are simplistic and lacking in intellectual depth. 
        the use of the phrase ""dumbed down to accommodate the duration of an average bowel movement"" is a clear indicator of sarcasm, as it is an absurd and exaggerated comparison. 
        step 3: the contrast between the surface sentiment and the true intention is stark, making it clear that the passage is sarcastic.",1.0
"LEONARD: Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.","PERSON: He switched over to high-energy radiation research, had a little mishap, and now the other guys are uncomfortable sitting next to him.
 PERSON: You're in?
 LEONARD: Yeah, sure, why not?
 PERSON: Great, we rehearse on Tuesdays at your place.
 LEONARD: Why at my place?
 PERSON: Department of Energy said our regular space is kind of a hot zone.
 PERSON: Nice meeting you.
 PENNY: Yeah, you, too.
Leonard, I didn't know you played the cello.
",BBT,1,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        LEONARD: Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ","sarcastic

        ### reasoning: 
        step 1: the surface sentiment is negative (getting beaten up). 
        step 2: the speaker is being sarcastic as they're saying that their parents are not doing enough to make them get beaten up (which is absurd), implying the opposite that their parents were too pushy. 
        step 3: since the surface sentiment is negative but the true intention is positive (complaining about being pushed too hard), the label is sarcastic.",1.0
