Text,Label,prompt,llm_output,pred
@Callisto1947 Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to http://t.co/JUmMWi0AyT,0,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        @Callisto1947 Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to http://t.co/JUmMWi0AyT
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ","sarcastic

        ### reasoning:

         step 1: the surface sentiment of this tweet appears to be a neutral or slightly positive request for help, as indicated by the phrase ""can u help?"" and the inclusion of a url.

         step 2: however, upon closer inspection, it becomes clear that the tweet is actually a sarcastic comment about conservatives being paid to post certain content on social media. the use of the phrase ""more conservatives needed"" and the mention of getting paid for posting certain content suggests that the author is being facetious.

         step 3: comparing the surface sentiment and the true intention, it's clear that the tweet is actually sarcastic, as the author is using irony to express their disapproval of the situation. the tone is mocking and critical, rather than genuinely requesting help or support. therefore, the final label is sarcastic.",1.0
"Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony",1,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ","sarcastic

        ### explanation: 

        step 1: the surface sentiment is positive, indicated by the phrase ""hahahaha"" and the hashtag ""#irony"". the phrase ""just walked in to #starbucks"" is neutral.

        step 2: the true intention is to express irony and sarcasm. the speaker asks for a ""tall blonde"" which is a coffee size, but it is also a phrase that can be used to describe a person. the use of ""#irony"" explicitly indicates that the speaker is being ironic.

        step 3: comparing the surface sentiment and the true intention, the final label is sarcastic.",1.0
#NOT GONNA WIN http://t.co/Mc9ebqjAqj,0,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        #NOT GONNA WIN http://t.co/Mc9ebqjAqj
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ","sarcastic 

        ### reasoning:
        step 1: the surface sentiment of this tweet is negative, with the word 'not' and the phrase 'not gonna win', which indicate a negative sentiment. 
        step 2: however, the tone of this tweet is quite ironic and mocking. the use of capital letters and the phrase 'not gonna win' implies a sense of exaggeration, which is a common trait of sarcastic language. 
        step 3: comparing step 1 and step 2, the true intention of this tweet is to express the opposite sentiment, which is that the speaker is confident about winning, making it a sarcastic tweet.",1.0
@mickymantell He is exactly that sort of person. Weirdo!,0,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        @mickymantell He is exactly that sort of person. Weirdo!
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ",sarcastic,1.0
So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm,1,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ","sarcastic 

        ### reason: 

        step 1: the surface sentiment is extremely negative, with keywords like 'boring', 'dead','shit', and'sleeping'. the emojis also reinforce this negative sentiment.
        
        step 2: however, the sentence starts with 'so much #sarcasm', which suggests that the speaker is actually being sarcastic and ironic. the use of hashtags like '#sarcasm' and the over-the-top negative language also indicate that the speaker is being facetious.

        step 3: comparing the surface sentiment and the true intention, it is clear that the speaker is being sarcastic and the sentence is meant to be ironic and humorous, rather than a genuine expression of negativity. therefore, the correct label is 'sarcastic'.",1.0
Corny jokes are my absolute favorite,0,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        Corny jokes are my absolute favorite
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ","sarcastic

        ### reasoning: 

        this sentence appears to be sarcastic because the word ""absolute favorite"" is an exaggeration, indicating irony. the speaker likely does not genuinely enjoy corny jokes, but is being facetious. the tone is playful and mocking, which is a common characteristic of sarcastic language.",1.0
"People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life",1,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ","sarcastic

        ### reasoning:
        step 1: the surface sentiment is neutral, with a seemingly serious tone. the phrase ""don't blame me"" might hint at a slight defensiveness.
        step 2: however, the mention of ""albert e"" (presumably einstein) in a completely unrelated context, along with the hashtag ""#sarcasm"", suggests that the speaker is being facetious and ironic.
        step 3: the disparity between the surface sentiment and the true intention, coupled with the obvious irony and playfulness, indicates that the statement is indeed sarcastic.",1.0
"@SR_Duncan @benpobjie Darn, my sock joke needs fixing?",0,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        @SR_Duncan @benpobjie Darn, my sock joke needs fixing?
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ","sarcastic

        ### reason: 

        step 1: the surface sentiment seems to be disappointment or frustration because of the word 'darn' which is an expression of annoyance.

        step 2: however, considering the context of the conversation, the topic of'sock joke', and the tone of the sentence, it seems like the speaker is being sarcastic and ironic. they are probably making a joke about needing to fix a joke about socks, which is an absurd and silly topic.

        step 3: comparing the surface sentiment and the true intention, it's clear that the speaker is being sarcastic and the sentence is meant to be humorous and ironic.",1.0
"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿",0,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ","sarcastic

        ### reasoning: 

        i chose to output the result directly because my judgment is reliable. the sentence is sarcastic because it is an obvious exaggeration and the use of the emoji 👿 at the end implies a tone of irony and mocking. the sentence is not meant to be taken literally and is meant to convey the opposite meaning of what is being said, which is a characteristic of sarcasm.",1.0
"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself",1,"
        ### Instruction:
        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''

        ### Input:
        People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself
        You can choose to output the result directly if you believe your judgment is reliable,
        or
        You think step by step if your confidence in your judgment is less than 90%:
        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?
        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.
        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.

        ### Response:

        ### Label: 

        ","sarcastic 

        ### reasoning: 

        step 1: the surface sentiment is positive (favorite kind of people) and the hashtags #not and #educateyourself seem to reinforce a neutral or positive tone.

        step 2: however, the sentence structure and phrase ""my favorite kind of people"" is often used to express irony or sarcasm. the phrase ""just stop worrying about it"" is also a common phrase used to belittle people with anxiety, which implies that the speaker is actually frustrated or annoyed with such people.

        step 3: comparing step 1 and step 2, it's clear that the sentence is using irony and sarcasm to express the opposite sentiment of what's explicitly stated. the speaker is actually criticizing people who tell people with anxiety to ""just stop worrying about it"". therefore, the final label is sarcastic.",1.0
