Text,Context,Show,Label,cue_0,boc_prompt_0,cue_1,boc_prompt_1,cue_2,boc_prompt_2,boc_output_0,boc_label_0,boc_output_1,boc_label_1,boc_output_2,boc_label_2,label_pred
SHELDON: It's just a privilege to watch your mind at work.,"LEONARD: I never would have identified the fingerprints of string theory in the aftermath of the Big Bang.
 SHELDON: My apologies. What's your plan?
",BBT,1,"['special symbols', 'common knowledge', 'cultural background', 'context', 'emotional contrasts']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: special symbols, common knowledge, cultural background, context, emotional contrasts from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        LEONARD: I never would have identified the fingerprints of string theory in the aftermath of the Big Bang.\n SHELDON: My apologies. What's your plan?\n\n\n        ### Input:\n        SHELDON: It's just a privilege to watch your mind at work.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['keywords', 'surface emotion', 'topic', 'punctuation', 'language style']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: keywords, surface emotion, topic, punctuation, language style from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        LEONARD: I never would have identified the fingerprints of string theory in the aftermath of the Big Bang.\n SHELDON: My apologies. What's your plan?\n\n\n        ### Input:\n        SHELDON: It's just a privilege to watch your mind at work.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['topic', 'rhetorical devices', 'special symbols', 'punctuation', 'emotional words']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: topic, rhetorical devices, special symbols, punctuation, emotional words from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        LEONARD: I never would have identified the fingerprints of string theory in the aftermath of the Big Bang.\n SHELDON: My apologies. What's your plan?\n\n\n        ### Input:\n        SHELDON: It's just a privilege to watch your mind at work.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",not sarcastic,0,sarcastic,1,sarcastic,1,1
PENNY: I don't think I'll be able to stop thinking about it.,"HOWARD: This is one of my favorite places to kick back after a quest. They have a great house ale.
 PENNY: Cool tiger.
 HOWARD: Yeah, I've had him since level ten.
 HOWARD: His name is Buttons.
 HOWARD: Anyway, if you had your own game character we could hang out, maybe go on a quest.
 PENNY: That sounds interesting.
 HOWARD: You'll think about it?
",BBT,1,"['rhetorical devices', 'cultural background', 'keywords', 'emotional words', 'language style']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: rhetorical devices, cultural background, keywords, emotional words, language style from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        HOWARD: This is one of my favorite places to kick back after a quest. They have a great house ale.\n PENNY: Cool tiger.\n HOWARD: Yeah, I've had him since level ten.\n HOWARD: His name is Buttons.\n HOWARD: Anyway, if you had your own game character we could hang out, maybe go on a quest.\n PENNY: That sounds interesting.\n HOWARD: You'll think about it?\n\n\n        ### Input:\n        PENNY: I don't think I'll be able to stop thinking about it.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['cultural background', 'emotional contrasts', 'emotional words', 'keywords', 'rhetorical devices']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: cultural background, emotional contrasts, emotional words, keywords, rhetorical devices from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        HOWARD: This is one of my favorite places to kick back after a quest. They have a great house ale.\n PENNY: Cool tiger.\n HOWARD: Yeah, I've had him since level ten.\n HOWARD: His name is Buttons.\n HOWARD: Anyway, if you had your own game character we could hang out, maybe go on a quest.\n PENNY: That sounds interesting.\n HOWARD: You'll think about it?\n\n\n        ### Input:\n        PENNY: I don't think I'll be able to stop thinking about it.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['cultural background', 'emotional words', 'rhetorical devices', 'language style', 'context']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: cultural background, emotional words, rhetorical devices, language style, context from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        HOWARD: This is one of my favorite places to kick back after a quest. They have a great house ale.\n PENNY: Cool tiger.\n HOWARD: Yeah, I've had him since level ten.\n HOWARD: His name is Buttons.\n HOWARD: Anyway, if you had your own game character we could hang out, maybe go on a quest.\n PENNY: That sounds interesting.\n HOWARD: You'll think about it?\n\n\n        ### Input:\n        PENNY: I don't think I'll be able to stop thinking about it.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",not sarcastic,0,sarcastic,1,sarcastic,1,1
"SHELDON: Since it's not bee season, you can have my epinephrine.","LEONARD: Here we go. Pad thai, no peanuts.
 HOWARD: But does it have peanut oil?
 LEONARD: I'm not sure. Everyone keep an eye on Howard in case he starts to swell up.
",BBT,0,"['topic', 'cultural background', 'common knowledge', 'language style', 'emotional contrasts']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: topic, cultural background, common knowledge, language style, emotional contrasts from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        LEONARD: Here we go. Pad thai, no peanuts.\n HOWARD: But does it have peanut oil?\n LEONARD: I'm not sure. Everyone keep an eye on Howard in case he starts to swell up.\n\n\n        ### Input:\n        SHELDON: Since it's not bee season, you can have my epinephrine.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['punctuation', 'emotional contrasts', 'emotional words', 'common knowledge', 'topic']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: punctuation, emotional contrasts, emotional words, common knowledge, topic from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        LEONARD: Here we go. Pad thai, no peanuts.\n HOWARD: But does it have peanut oil?\n LEONARD: I'm not sure. Everyone keep an eye on Howard in case he starts to swell up.\n\n\n        ### Input:\n        SHELDON: Since it's not bee season, you can have my epinephrine.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['emotional words', 'common knowledge', 'surface emotion', 'context', 'punctuation']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: emotional words, common knowledge, surface emotion, context, punctuation from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        LEONARD: Here we go. Pad thai, no peanuts.\n HOWARD: But does it have peanut oil?\n LEONARD: I'm not sure. Everyone keep an eye on Howard in case he starts to swell up.\n\n\n        ### Input:\n        SHELDON: Since it's not bee season, you can have my epinephrine.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
"SHELDON: Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now traveling at approximately 120 miles an hour, hits them and is immediately sliced into three equal pieces.","PENNY: A marathon? How many Superman movies are there?
 SHELDON: You're kidding, right?
 PENNY: I do like the one where Lois Lane falls from the helicopter and Superman swooshes down and catches her. Which one was that?
 SHELDON: One.
 SHELDON: You realize that scene was rife with scientific inaccuracy.
 PENNY: Yes, I know, men can't fly.
 SHELDON: Let's assume that they can.
",BBT,0,"['common knowledge', 'punctuation', 'context', 'surface emotion', 'keywords']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: common knowledge, punctuation, context, surface emotion, keywords from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        PENNY: A marathon? How many Superman movies are there?\n SHELDON: You're kidding, right?\n PENNY: I do like the one where Lois Lane falls from the helicopter and Superman swooshes down and catches her. Which one was that?\n SHELDON: One.\n SHELDON: You realize that scene was rife with scientific inaccuracy.\n PENNY: Yes, I know, men can't fly.\n SHELDON: Let's assume that they can.\n\n\n        ### Input:\n        SHELDON: Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now traveling at approximately 120 miles an hour, hits them and is immediately sliced into three equal pieces.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['emotional contrasts', 'rhetorical devices', 'special symbols', 'common knowledge', 'surface emotion']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: emotional contrasts, rhetorical devices, special symbols, common knowledge, surface emotion from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        PENNY: A marathon? How many Superman movies are there?\n SHELDON: You're kidding, right?\n PENNY: I do like the one where Lois Lane falls from the helicopter and Superman swooshes down and catches her. Which one was that?\n SHELDON: One.\n SHELDON: You realize that scene was rife with scientific inaccuracy.\n PENNY: Yes, I know, men can't fly.\n SHELDON: Let's assume that they can.\n\n\n        ### Input:\n        SHELDON: Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now traveling at approximately 120 miles an hour, hits them and is immediately sliced into three equal pieces.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['context', 'language style', 'topic', 'emotional words', 'keywords']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: context, language style, topic, emotional words, keywords from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        PENNY: A marathon? How many Superman movies are there?\n SHELDON: You're kidding, right?\n PENNY: I do like the one where Lois Lane falls from the helicopter and Superman swooshes down and catches her. Which one was that?\n SHELDON: One.\n SHELDON: You realize that scene was rife with scientific inaccuracy.\n PENNY: Yes, I know, men can't fly.\n SHELDON: Let's assume that they can.\n\n\n        ### Input:\n        SHELDON: Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now traveling at approximately 120 miles an hour, hits them and is immediately sliced into three equal pieces.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
SHELDON: I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,"SHELDON: Great Caesar's ghost, look at this place.
 LEONARD: So Penny's a little messy.
 SHELDON: A little messy?
 SHELDON: The Mandelbrot set of complex numbers is a little messy. This is chaos.
 SHELDON: Excuse me.
 SHELDON: Explain to me an organizational system where a tray of flatware on a couch is valid.
",BBT,1,"['emotional contrasts', 'context', 'rhetorical devices', 'topic', 'emotional words']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: emotional contrasts, context, rhetorical devices, topic, emotional words from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        SHELDON: Great Caesar's ghost, look at this place.\n LEONARD: So Penny's a little messy.\n SHELDON: A little messy?\n SHELDON: The Mandelbrot set of complex numbers is a little messy. This is chaos.\n SHELDON: Excuse me.\n SHELDON: Explain to me an organizational system where a tray of flatware on a couch is valid.\n\n\n        ### Input:\n        SHELDON: I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['rhetorical devices', 'language style', 'keywords', 'common knowledge', 'special symbols']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: rhetorical devices, language style, keywords, common knowledge, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        SHELDON: Great Caesar's ghost, look at this place.\n LEONARD: So Penny's a little messy.\n SHELDON: A little messy?\n SHELDON: The Mandelbrot set of complex numbers is a little messy. This is chaos.\n SHELDON: Excuse me.\n SHELDON: Explain to me an organizational system where a tray of flatware on a couch is valid.\n\n\n        ### Input:\n        SHELDON: I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['special symbols', 'emotional contrasts', 'cultural background', 'language style', 'emotional words']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: special symbols, emotional contrasts, cultural background, language style, emotional words from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        SHELDON: Great Caesar's ghost, look at this place.\n LEONARD: So Penny's a little messy.\n SHELDON: A little messy?\n SHELDON: The Mandelbrot set of complex numbers is a little messy. This is chaos.\n SHELDON: Excuse me.\n SHELDON: Explain to me an organizational system where a tray of flatware on a couch is valid.\n\n\n        ### Input:\n        SHELDON: I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",not sarcastic,0,"i may not be perfectly accurate, but based on the text you provided, it seems that the response attempts to express sarcasm by making a provocative comment about a seemingly trivial detail in a given context. however, the response falls short of the complete sarcasm classification, as it lacks the typical sarcastic tone and escalation to which it might extend in conversation. 

depending on the context, the sarcasm in the initially quoted text might actually be a sarcastic assertion with elevated language style and familiar language.",1,sarcastic.,1,1
"HOWARD: Sheldon, if you were a robot, and I knew and you didn't...","PERSON: On the other hand, no arousal.
 LEONARD: None?
 PERSON: None.
 LEONARD: Thank you for your time.
 PERSON: Thank you.
 LEONARD: None at all?
",BBT,0,"['topic', 'rhetorical devices', 'emotional words', 'surface emotion', 'emotional contrasts']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: topic, rhetorical devices, emotional words, surface emotion, emotional contrasts from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        PERSON: On the other hand, no arousal.\n LEONARD: None?\n PERSON: None.\n LEONARD: Thank you for your time.\n PERSON: Thank you.\n LEONARD: None at all?\n\n\n        ### Input:\n        HOWARD: Sheldon, if you were a robot, and I knew and you didn't...\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['common knowledge', 'language style', 'rhetorical devices', 'keywords', 'context']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: common knowledge, language style, rhetorical devices, keywords, context from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        PERSON: On the other hand, no arousal.\n LEONARD: None?\n PERSON: None.\n LEONARD: Thank you for your time.\n PERSON: Thank you.\n LEONARD: None at all?\n\n\n        ### Input:\n        HOWARD: Sheldon, if you were a robot, and I knew and you didn't...\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['language style', 'topic', 'special symbols', 'common knowledge', 'rhetorical devices']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: language style, topic, special symbols, common knowledge, rhetorical devices from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        PERSON: On the other hand, no arousal.\n LEONARD: None?\n PERSON: None.\n LEONARD: Thank you for your time.\n PERSON: Thank you.\n LEONARD: None at all?\n\n\n        ### Input:\n        HOWARD: Sheldon, if you were a robot, and I knew and you didn't...\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",not sarcastic,0,not sarcastic,0,not sarcastic,0,0
"SHELDON: If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.","SHELDON: Oh, good Lord.
 LEONARD: God, that's a good song.
",BBT,1,"['topic', 'emotional contrasts', 'special symbols', 'language style', 'keywords']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: topic, emotional contrasts, special symbols, language style, keywords from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        SHELDON: Oh, good Lord.\n LEONARD: God, that's a good song.\n\n\n        ### Input:\n        SHELDON: If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['common knowledge', 'cultural background', 'special symbols', 'emotional contrasts', 'punctuation']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: common knowledge, cultural background, special symbols, emotional contrasts, punctuation from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        SHELDON: Oh, good Lord.\n LEONARD: God, that's a good song.\n\n\n        ### Input:\n        SHELDON: If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['language style', 'surface emotion', 'cultural background', 'rhetorical devices', 'topic']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: language style, surface emotion, cultural background, rhetorical devices, topic from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        SHELDON: Oh, good Lord.\n LEONARD: God, that's a good song.\n\n\n        ### Input:\n        SHELDON: If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,not sarcastic,0,sarcastic,1,1
SHELDON: No. The dark crescent-shaped patterns under your arms conceal it nicely.,"LEONARD: How do I look?
 SHELDON: Could you be more specific?
 LEONARD: Can you tell I'm perspiring a little?
",BBT,1,"['keywords', 'topic', 'context', 'special symbols', 'punctuation']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: keywords, topic, context, special symbols, punctuation from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        LEONARD: How do I look?\n SHELDON: Could you be more specific?\n LEONARD: Can you tell I'm perspiring a little?\n\n\n        ### Input:\n        SHELDON: No. The dark crescent-shaped patterns under your arms conceal it nicely.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['emotional contrasts', 'keywords', 'common knowledge', 'rhetorical devices', 'cultural background']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: emotional contrasts, keywords, common knowledge, rhetorical devices, cultural background from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        LEONARD: How do I look?\n SHELDON: Could you be more specific?\n LEONARD: Can you tell I'm perspiring a little?\n\n\n        ### Input:\n        SHELDON: No. The dark crescent-shaped patterns under your arms conceal it nicely.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['cultural background', 'keywords', 'rhetorical devices', 'punctuation', 'special symbols']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: cultural background, keywords, rhetorical devices, punctuation, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        LEONARD: How do I look?\n SHELDON: Could you be more specific?\n LEONARD: Can you tell I'm perspiring a little?\n\n\n        ### Input:\n        SHELDON: No. The dark crescent-shaped patterns under your arms conceal it nicely.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",not sarcastic,0,not sarcastic,0,not sarcastic,0,0
"SHELDON: How's this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university's ""chosen to hire you, despite the fact ""that you've done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement.","SHELDON: You know, I am not going to enjoy this party.
 LEONARD: I know, I'm familiar with you.
 SHELDON: The last department party, Professor Finkleday cornered me and talked about spelunking for 45 minutes.
 LEONARD: Yes, I was there.
 SHELDON: You know what's interesting about caves?
 LEONARD: What?
 SHELDON: Nothing.
 LEONARD: Then we'll avoid him, we'll meet the new department head, congratulate him, shake his hand and go.
",BBT,1,"['rhetorical devices', 'emotional words', 'special symbols', 'topic', 'context']","[{'role': 'user', 'content': '\n        ### Instruction:\n        \'\'\'You are a sarcasm classification classifier. Extract the following cues: rhetorical devices, emotional words, special symbols, topic, context from the Input text, to assign a correct label of the Input text from [\'Not Sarcastic\', \'Sarcastic\'].\'\'\'\n\n        ### Context:\n        SHELDON: You know, I am not going to enjoy this party.\n LEONARD: I know, I\'m familiar with you.\n SHELDON: The last department party, Professor Finkleday cornered me and talked about spelunking for 45 minutes.\n LEONARD: Yes, I was there.\n SHELDON: You know what\'s interesting about caves?\n LEONARD: What?\n SHELDON: Nothing.\n LEONARD: Then we\'ll avoid him, we\'ll meet the new department head, congratulate him, shake his hand and go.\n\n\n        ### Input:\n        SHELDON: How\'s this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university\'s ""chosen to hire you, despite the fact ""that you\'ve done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement.\n\n        ### Response: \n\n        ### Label: \n\n        '}]","['common knowledge', 'topic', 'context', 'punctuation', 'language style']","[{'role': 'user', 'content': '\n        ### Instruction:\n        \'\'\'You are a sarcasm classification classifier. Extract the following cues: common knowledge, topic, context, punctuation, language style from the Input text, to assign a correct label of the Input text from [\'Not Sarcastic\', \'Sarcastic\'].\'\'\'\n\n        ### Context:\n        SHELDON: You know, I am not going to enjoy this party.\n LEONARD: I know, I\'m familiar with you.\n SHELDON: The last department party, Professor Finkleday cornered me and talked about spelunking for 45 minutes.\n LEONARD: Yes, I was there.\n SHELDON: You know what\'s interesting about caves?\n LEONARD: What?\n SHELDON: Nothing.\n LEONARD: Then we\'ll avoid him, we\'ll meet the new department head, congratulate him, shake his hand and go.\n\n\n        ### Input:\n        SHELDON: How\'s this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university\'s ""chosen to hire you, despite the fact ""that you\'ve done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement.\n\n        ### Response: \n\n        ### Label: \n\n        '}]","['surface emotion', 'special symbols', 'keywords', 'emotional words', 'rhetorical devices']","[{'role': 'user', 'content': '\n        ### Instruction:\n        \'\'\'You are a sarcasm classification classifier. Extract the following cues: surface emotion, special symbols, keywords, emotional words, rhetorical devices from the Input text, to assign a correct label of the Input text from [\'Not Sarcastic\', \'Sarcastic\'].\'\'\'\n\n        ### Context:\n        SHELDON: You know, I am not going to enjoy this party.\n LEONARD: I know, I\'m familiar with you.\n SHELDON: The last department party, Professor Finkleday cornered me and talked about spelunking for 45 minutes.\n LEONARD: Yes, I was there.\n SHELDON: You know what\'s interesting about caves?\n LEONARD: What?\n SHELDON: Nothing.\n LEONARD: Then we\'ll avoid him, we\'ll meet the new department head, congratulate him, shake his hand and go.\n\n\n        ### Input:\n        SHELDON: How\'s this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university\'s ""chosen to hire you, despite the fact ""that you\'ve done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement.\n\n        ### Response: \n\n        ### Label: \n\n        '}]",sarcastic,1,sarcastic,1,sarcastic,1,1
"LEONARD: Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.","PERSON: He switched over to high-energy radiation research, had a little mishap, and now the other guys are uncomfortable sitting next to him.
 PERSON: You're in?
 LEONARD: Yeah, sure, why not?
 PERSON: Great, we rehearse on Tuesdays at your place.
 LEONARD: Why at my place?
 PERSON: Department of Energy said our regular space is kind of a hot zone.
 PERSON: Nice meeting you.
 PENNY: Yeah, you, too.
Leonard, I didn't know you played the cello.
",BBT,1,"['surface emotion', 'punctuation', 'cultural background', 'language style', 'topic']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: surface emotion, punctuation, cultural background, language style, topic from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        PERSON: He switched over to high-energy radiation research, had a little mishap, and now the other guys are uncomfortable sitting next to him.\n PERSON: You're in?\n LEONARD: Yeah, sure, why not?\n PERSON: Great, we rehearse on Tuesdays at your place.\n LEONARD: Why at my place?\n PERSON: Department of Energy said our regular space is kind of a hot zone.\n PERSON: Nice meeting you.\n PENNY: Yeah, you, too.\nLeonard, I didn't know you played the cello.\n\n\n        ### Input:\n        LEONARD: Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['common knowledge', 'emotional words', 'context', 'surface emotion', 'keywords']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: common knowledge, emotional words, context, surface emotion, keywords from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        PERSON: He switched over to high-energy radiation research, had a little mishap, and now the other guys are uncomfortable sitting next to him.\n PERSON: You're in?\n LEONARD: Yeah, sure, why not?\n PERSON: Great, we rehearse on Tuesdays at your place.\n LEONARD: Why at my place?\n PERSON: Department of Energy said our regular space is kind of a hot zone.\n PERSON: Nice meeting you.\n PENNY: Yeah, you, too.\nLeonard, I didn't know you played the cello.\n\n\n        ### Input:\n        LEONARD: Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['emotional contrasts', 'surface emotion', 'punctuation', 'special symbols', 'topic']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Extract the following cues: emotional contrasts, surface emotion, punctuation, special symbols, topic from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Context:\n        PERSON: He switched over to high-energy radiation research, had a little mishap, and now the other guys are uncomfortable sitting next to him.\n PERSON: You're in?\n LEONARD: Yeah, sure, why not?\n PERSON: Great, we rehearse on Tuesdays at your place.\n LEONARD: Why at my place?\n PERSON: Department of Energy said our regular space is kind of a hot zone.\n PERSON: Nice meeting you.\n PENNY: Yeah, you, too.\nLeonard, I didn't know you played the cello.\n\n\n        ### Input:\n        LEONARD: Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
