Text,Label,prompt,llm_output,pred
@Callisto1947 Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to http://t.co/JUmMWi0AyT,0,"[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        @Callisto1947 Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to http://t.co/JUmMWi0AyT\n        You can choose to output the result directly if you believe your judgment is reliable,\n        or\n        You think step by step if your confidence in your judgment is less than 90%:\n        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?\n        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.\n        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.\n\n        ### Response:\n\n        ### Label: \n\n        ""}]",sarcastic,1
"Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony",1,"[{'role': 'user', 'content': '\n        ### Instruction:\n        \'\'\'You are a sarcasm classification classifier. Assign a correct label of the Input text from [\'Not Sarcastic\', \'Sarcastic\'].\'\'\'\n\n        ### Input:\n        Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony\n        You can choose to output the result directly if you believe your judgment is reliable,\n        or\n        You think step by step if your confidence in your judgment is less than 90%:\n        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?\n        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.\n        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.\n\n        ### Response:\n\n        ### Label: \n\n        '}]",sarcastic,1
#NOT GONNA WIN http://t.co/Mc9ebqjAqj,0,"[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        #NOT GONNA WIN http://t.co/Mc9ebqjAqj\n        You can choose to output the result directly if you believe your judgment is reliable,\n        or\n        You think step by step if your confidence in your judgment is less than 90%:\n        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?\n        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.\n        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.\n\n        ### Response:\n\n        ### Label: \n\n        ""}]",sarcastic,1
@mickymantell He is exactly that sort of person. Weirdo!,0,"[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        @mickymantell He is exactly that sort of person. Weirdo!\n        You can choose to output the result directly if you believe your judgment is reliable,\n        or\n        You think step by step if your confidence in your judgment is less than 90%:\n        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?\n        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.\n        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.\n\n        ### Response:\n\n        ### Label: \n\n        ""}]",sarcastic,1
So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm,1,"[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm\n        You can choose to output the result directly if you believe your judgment is reliable,\n        or\n        You think step by step if your confidence in your judgment is less than 90%:\n        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?\n        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.\n        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.\n\n        ### Response:\n\n        ### Label: \n\n        ""}]",sarcastic,1
Corny jokes are my absolute favorite,0,"[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Corny jokes are my absolute favorite\n        You can choose to output the result directly if you believe your judgment is reliable,\n        or\n        You think step by step if your confidence in your judgment is less than 90%:\n        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?\n        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.\n        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.\n\n        ### Response:\n\n        ### Label: \n\n        ""}]",not sarcastic,0
"People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life",1,"[{'role': 'user', 'content': '\n        ### Instruction:\n        \'\'\'You are a sarcasm classification classifier. Assign a correct label of the Input text from [\'Not Sarcastic\', \'Sarcastic\'].\'\'\'\n\n        ### Input:\n        People complain about my backround pic and all I feel is like ""hey don\'t blame me, Albert E might have spoken those words"" #sarcasm #life\n        You can choose to output the result directly if you believe your judgment is reliable,\n        or\n        You think step by step if your confidence in your judgment is less than 90%:\n        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?\n        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.\n        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.\n\n        ### Response:\n\n        ### Label: \n\n        '}]",sarcastic,1
"@SR_Duncan @benpobjie Darn, my sock joke needs fixing?",0,"[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        @SR_Duncan @benpobjie Darn, my sock joke needs fixing?\n        You can choose to output the result directly if you believe your judgment is reliable,\n        or\n        You think step by step if your confidence in your judgment is less than 90%:\n        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?\n        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.\n        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.\n\n        ### Response:\n\n        ### Label: \n\n        ""}]",sarcastic,1
"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿",0,"[{'role': 'user', 'content': ""\n        ### Instruction:\n        '''You are a sarcasm classification classifier. Assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿\n        You can choose to output the result directly if you believe your judgment is reliable,\n        or\n        You think step by step if your confidence in your judgment is less than 90%:\n        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?\n        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.\n        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.\n\n        ### Response:\n\n        ### Label: \n\n        ""}]","sarcastic

step 1: step 1: true sentiment analysis can be done by evaluating the keyword ""christian expects fifa to sleep in my bed with me tonight,"" and phrases like ""វมเขpresent"" which sound similar to ""too machief,"" and plausible understating, pessimistic aura and ironic phrasing ()' prejudiced attitude).

step 2: the actual, intended meaning of the sentence is that despite christian's mistaken expectation that fifa would sleep with him",1
"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself",1,"[{'role': 'user', 'content': '\n        ### Instruction:\n        \'\'\'You are a sarcasm classification classifier. Assign a correct label of the Input text from [\'Not Sarcastic\', \'Sarcastic\'].\'\'\'\n\n        ### Input:\n        People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself\n        You can choose to output the result directly if you believe your judgment is reliable,\n        or\n        You think step by step if your confidence in your judgment is less than 90%:\n        Step 1: What is the SURFACE sentiment, as indicated by clues such as keywords, sentimental phrases, emojis?\n        Step 2: Deduce what the sentence really means, namely the TRUE intention, by carefully checking any rhetorical devices, language style, etc.\n        Step 3: Compare and analysis Step 1 and Step 2, infer the final sarcasm label.\n\n        ### Response:\n\n        ### Label: \n\n        '}]",sarcastic,1
